,id,name,followers,popularity
85,2Ch5zHsrWSpgq7g0WI2UFD,Desert Niños,15071,37
86,4JFse8c35wKHAuzJO9BTqO,Slim Ans,6439,38
87,0jgJv4J29BJiJu1luw2SdA,Ms. Ambar,6424,53
88,6tnCYugShRsCcfHNGIUSq3,Cape Francis,9803,33
89,1Af916mBj2FbJyBEB3U13b,Nuno Canavarro,2256,26
90,4GmataFSHOSQWxuuUX57Bh,Jim-E Stack,31517,47
91,0knGpCTbmG4ctl1wzYRZs4,Dijon,281377,62
92,5274obTQJjzjyycRyJlfml,Whitechapel,477423,54
93,5WFeN8vtX0TYqv0IYVbWZT,Fenton Robinson,16596,47
94,1Uff91EOsvd99rtAupatMP,Claude Debussy,1389946,71
95,606pshIhidPHebEaDWSXDe,Mitsuko Uchida,44889,49
96,2jM44QDqboAQRKbiIqHIoE,Lulu Be.,3341,27
97,5dncbrnveDMX9DgxcedeUg,Louie Vega,58443,49
98,4ayLYM2DPcx5ItuBNT91IJ,Rick Wilhite,3611,26
99,19v0Cnq5D4SKom8SVlXhkw,Jean-Baptiste Lully,52349,49
100,7mkcqdifmNkhfJ7XZ7WFFS,William Christie,17139,48
101,652tly1eoAkKzhJ5z4LsEx,Les Arts Florissants,7683,42
102,2xlu6WzVa7WHwHhRptqq7c,Ida Sand,14301,50
103,4cBZdr2PjNdXrbkK9xhLJA,Stockholm Underground,76,34
104,6B3ZWSop1mrJd71rwFozVP,Nils Landgren,43731,52
105,4ejqWoCUdomzmXtgNJvXbl,Zöelle,451,28
106,3AmgGrYHXqgbmZ2yKoIVzO,Warpaint,467452,51
107,6kQLrF8BwbKymqwvCJJzLb,Monica Borrfors,684,24
108,6drAKOLWO1vzBrdmJmg5SE,Outline In Color,69573,43
109,3YMpkFfYLXaD8eZlQalBHC,Foxera,5276,30
110,1p4l2x4EUENGm1VCQfBkuu,Michael Swank,137,28
111,1NyY8eTT2Djl9p3LfBW8zg,Floyd Lee & His Mean Blues Band,98,25
112,0XHM5ZNJDU8e4CfbWMeSzC,Roo Panes,205099,57
113,7gXy60xRcwYujBFoYHnR2O,Big Red Machine,144252,56
114,7K5Lm5dxoEwEpOS0Fc3l3s,Anaïs Mitchell,62235,62
115,0JvUFDnuWPbuyRa6ptVkLk,Marcell,511936,56
116,4XKp9GFAQfsh2NflSRnHQi,Shi Shi,135491,57
117,6KMFhD0SFLgUNoQJGxf37V,Laura Benanti,12554,35
118,4xyi7Ld8qxkIpRlh4dAnpu,Tai Chi,9518,32
119,5ElXLkDzZPQA9fBzBjA9TJ,David Ling Jr,139,46
120,282UIRNs6aprjrs0ynDn6v,Los De Adentro,322619,46
121,2GtFIN8b3SolBC7mmCPAAA,Gabe Watkins,1268,30
122,2xk7nS3YI8mmzrgtPHD5yW,邰智源,172,24
123,2JBUyLiFvpFPWdZGqIGYLD,Crowd Lu,401615,57
124,447RvE0QN6IQgxWbllfL2g,Geniuz F the FUTURE,3429,31
125,5wEF5my54dE5vMMmSUz2q3,Glimlip,13081,58
126,2F5B5YgPDinjL9x35lkkke,Søren Søstrom,1139,54
127,42gnrsSSKKNNmfAJ0o3oyN,Soul Food Horns,7996,54
128,2E14TlP0N4RU8X3Y2i2Pq3,Slug,961,45
129,0mXTJETA4XUa12MmmXxZJh,Eddie Vedder,1482835,64
130,62s5q1tm3UAcRnbGY9CCI9,Provoker,29629,49
131,3XxNRirzbjfLdDli06zMaB,Eyedress,1162650,74
132,3hVxqR4x3D6PaJWHICzhpt,Umer Farooq,73216,35
133,4alN93MNQVX5AZ19q1nvI8,張鎬哲,17558,33
134,1bPBx2qbpWzEoLujeHC3G7,Upon A Burning Body,225889,51
135,1TTfuOdEtj8lin2zR4OWmP,Flock of Dimes,24854,40
136,39vA9YljbnOApXKniLWBZv,Sylvan Esso,527688,59
137,2gCsNOpiBaMNh20jQ5prf0,Buddy Guy,766415,56
138,30TrHDLNCKQVTYWOn9QqOC,Beth Hart,356339,52
139,5mtFvnvImn9y9m8MaVxTZ8,Musicmusicmusic,1512,31
140,7fl8Q1ZxnrShvSPkISUZoU,Fabian Kallerdahl,189,32
141,0kYl58y2IiOpSbieJ31Oja,Michael Edlund,7,24
142,5Wc1iOuZi2XsaM1ppRsAaN,Josef Kallerdahl,70,26
143,4v6XOdonnfpdTKTRJArG7v,Tink,871549,63
144,0YWxKQj2Go9CGHCp77UOyy,Fabolous,2524077,68
145,21mKp7DqtSNHhCAU2ugvUw,ODESZA,1467947,72
146,4xnihxcoXWK3UqryOSnbw5,Sasha Alex Sloan,1264088,71
147,7GtNzyMUm0JLoKs8XrxqCB,Jacob Roved Quintet,65,23
148,4NuB9MixMoBdiyfcifI9A7,Jacob Roved,27,24
149,3MKCzCnpzw3TjUYs2v7vDA,Pyotr Ilyich Tchaikovsky,1112798,70
150,2RNqh4BiqEfr33OzVilDXC,Emil Tchakarov,75,30
151,6ABbnVBXuFZ6Yn2LBZzC6O,Sofia Festival Orchestra,154,26
152,0yW0kiRsK5MYhgICpQhbaG,Ed Carlsen,9479,39
153,7IyBMp52r2T01C39t27vrE,Maskatesta,180996,44
154,5nJed4T0G1U9dZlF5W9Otb,INNX,135,24
155,60cGRl68qyCBMqZi3tiHEU,Walls of Jericho,100156,35
156,0oeUdHJ3cy1oveb8WguJJt,OTR,39063,52
157,7C3Cbtr2PkH2l4tOGhtCsk,Shallou,204951,62
158,4xPR9p75zzDlisJvvhEYl2,Jacob Lee,188191,50
159,53nmySG01mYmqoUx3fKymx,Los Estramboticos,434619,51
160,1vrwXqSGdLsWtvIev4H0WH,Hell Is For Heroes,15488,34
161,1wKDGglKV4FsFS85r2Dmpr,Airbag,449402,62
162,0o7WWONtleH6PWLn5GIoCM,Every Time I Die,219784,49
163,5wTAi7QkpP6kp8a54lmTOq,Johannes Brahms,862984,68
164,3nWFtj95VONeWmWVpoCXcb,Fabian Müller,482,41
165,6HroxxPckeXqSu1seASTTV,Bara Nagata,121,26
166,08VvDNRmZUZ99QZb63qXgU,Vera Yen,960,28
167,3nwukN5F9YhgKfzVrlOv7C,Ermy Kullit,22784,35
168,58WFmcqNmejE2IpVIna43o,Algiers,55971,41
169,1jKpNUjiz4KXgaAZD5FI9S,Zack De La Rocha,73172,46
170,3m8lmJWxlk9SPTFFCdxJVz,Field Guide,11228,47
171,4MnX5gyPiIWEjQzvX54I8p,END,46720,36
172,2rV7OHV7pnQxQPkLbY7LoY,DEVORA,4323,31
173,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,7481192,79
174,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,36126533,90
175,3srPc1Mytv5GmTWqsQuoXW,frederic,302808,55
176,6AMd49uBDJfhf30Ak2QR5s,Coi Leray,519849,78
177,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,9125200,83
178,0YinUQ50QDB7ZxSCLyQ40k,Mustard,1046872,75
179,1coHxhBPteDGeU23Kf1E98,Crvvcks,4424,37
180,3ins7Wpq5xVFJi8wZdBAFI,Valentina,3392,30
181,17L2cs2P9cHQy3hB7cYLkz,Queenz of Piano,1726,31
