,track_id,id,name,followers,genres,popularity,extract_date
80,21pPcOJ7HUIlrwTzB7ThZ8,2cABEOZ0sMYypUI1BxrxKw,Kudoshi,198,[],9,2023-03-27
84,27kqtCjgY5Y1JfYxAhkv4y,5NfqonprYhdYuBctIrOv6B,XAN,776,[],36,2023-03-27
86,2KbNZUsmY1jg6sCyN2Xtrd,0C52ChHxEwG9E6Mi7Kmlkf,David Myles,11105,"['canadian folk', 'canadian indie', 'canadian singer-songwriter', 'deep new americana']",37,2023-03-27
88,2Qdtq7tz7oNHHnvmQ1CSLa,6hkNj3GAqFbkEUCs3R1dY3,Rory Block,12967,"['acoustic blues', 'country blues', 'modern blues']",40,2023-03-27
90,2XTzB7SPPl4GZv6bYVJfiv,69fOAbSc6FEOFmvvMzlNgY,Jeremie Albino,8949,"['canadian americana', 'deep new americana']",37,2023-03-27
92,2cush3Y6GwRgvUAvlSHNa9,7xjcFAzlxdwPCfWi3VOuxU,Ronnie Earl,27860,"['blues', 'blues rock', 'electric blues', 'modern blues']",37,2023-03-27
94,2hZ6kfrCeBWPJ0lDJQXrpD,2zzKlxMsKTPMsZacZCPRNA,Joey Yung,394155,"['c-pop', 'cantopop']",57,2023-03-27
95,2hZ6kfrCeBWPJ0lDJQXrpD,0Owr9iQqSfXrzvaED51Ymz,Deep Ng,20236,['cantopop'],33,2023-03-27
98,3bpN4M55AoakemsQtp9dA6,0g3NiCRhEv7M4SEDMrpItN,Totally Enormous Extinct Dinosaurs,182577,"['alternative dance', 'electronica', 'indietronica', 'new rave', 'nu disco', 'oxford indie']",54,2023-03-27
100,3qbIr79hziQsnh95N8ml8w,5rE2HaYrmTza8MPBzzujzw,Miyah,3506,[],17,2023-03-27
101,3qbIr79hziQsnh95N8ml8w,5kfMU816qY0ujqEt3xIHqR,DT.Bilardo,24400,['cumbia 420'],62,2023-03-27
102,3qbIr79hziQsnh95N8ml8w,2p0ZRhfSrgGcOHWJ2aExzW,Juan FLP,83,[],32,2023-03-27
106,4CxrlDlK3JsVD7RbzsUaQ1,0wESJ64xbfvUqdM7lC9b1O,Jevin Julian,8285,['indonesian edm'],41,2023-03-27
108,4IV0yAxtWiRmaYxQvhmoCQ,2VZ62GjyleNEM6B8j0Ea1I,MORI,23,[],8,2023-03-27
109,4IV0yAxtWiRmaYxQvhmoCQ,0s9KIyjWtFcsRdKtMECxFp,Shinichi Osawa,21893,['filter house'],34,2023-03-27
112,4dWlYMm90NXNyRBe8duLXv,2ukVC6m4tSCgaCXqWuEwNQ,Mithridatum,1108,['dissonant death metal'],15,2023-03-27
114,4lyjNOz9dY0ON1y7ZBdU0P,1H5bZEYikISQmR2qY2SASI,Wyldest,6647,['vapor soul'],30,2023-03-27
116,4x81fOrnfPfx9Vfn6neDam,3G3Gdm0ZRAOxLrbyjfhii5,my bloody valentine,707037,"['alternative rock', 'dream pop', 'noise pop', 'rock', 'shoegaze']",59,2023-03-27
118,59On35IawOw3kdsUv6wiu6,4y6J8jwRAwO4dssiSmN91R,Muddy Waters,1213523,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",57,2023-03-27
120,5IcWfx7ByQbvyizEEJlPB9,0ubIxkefJsoYY8JXc2HJoa,Leon Lai,114888,"['c-pop', 'cantopop', 'classic cantopop']",50,2023-03-27
122,5w9J0h84wCz8NiAW8N3f3m,1NnRjWELSLqFONDhwc8VU7,Champion Jack Dupree,31172,"['acoustic blues', 'barrelhouse piano', 'blues', 'electric blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'piano blues', 'rhythm and blues', 'traditional blues']",40,2023-03-27
124,6GKDisdWYI2TbK18F4zC11,1L9s7TypQNTxmJ12OuG2yR,Candee,4734,['j-rap'],57,2023-03-27
