,track_id,id,name,followers,genres,popularity,extract_date
160,2h1WKeqEuizO0vr8qxIOy6,4Q2hTDZYFCohf17D5GvkIb,G Perico,123494,"['cali rap', 'west coast trap', 'westcoast flow']",59,2023-04-03
161,2h1WKeqEuizO0vr8qxIOy6,5oNgAs7j5XcBMzWv3HAnHG,DJ Drama,1396536,"['dirty south rap', 'gangster rap', 'hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",65,2023-04-03
164,2h83AMl3afIAWks8Z3Sn9C,6gZVflqhSHhG3MjYrf1dOv,The Surfaris,37358,['surf music'],45,2023-04-03
166,2ib9PWWqtNyw9rff0qcm5G,0qZlB7IX5lWPhlxsayt31p,Lola Beltrán,376313,"['mariachi', 'ranchera']",50,2023-04-03
168,2ko8dvhLWtjJLpVRP0MsSy,4GNHtO2iEJ09r4JNTlqnO9,Master Peace,12487,[],45,2023-04-03
170,2lwPsHNyohO98CZY0ag3YQ,2Ch5zHsrWSpgq7g0WI2UFD,Desert Niños,15071,"['mexican hip hop', 'urbano mexicano']",37,2023-04-03
171,2lwPsHNyohO98CZY0ag3YQ,4JFse8c35wKHAuzJO9BTqO,Slim Ans,6439,['trap mexicano'],38,2023-04-03
172,2lwPsHNyohO98CZY0ag3YQ,0jgJv4J29BJiJu1luw2SdA,Ms. Ambar,6424,[],53,2023-04-03
176,2p26J9tpJ8kmbBd8AX7WnF,6tnCYugShRsCcfHNGIUSq3,Cape Francis,9803,['brooklyn indie'],33,2023-04-03
178,2qQjc7iFLNkyKm9GeetnDJ,1Af916mBj2FbJyBEB3U13b,Nuno Canavarro,2256,"['glitch', 'portuguese experimental']",26,2023-04-03
180,2rF0SIGlQLyU2Vg3Vxlxn5,4GmataFSHOSQWxuuUX57Bh,Jim-E Stack,31517,"['vapor house', 'vapor soul']",47,2023-04-03
181,2rF0SIGlQLyU2Vg3Vxlxn5,0knGpCTbmG4ctl1wzYRZs4,Dijon,281377,"['bedroom soul', 'indie r&b']",62,2023-04-03
184,2sgZkQnJUdBEKUX1F5s745,5274obTQJjzjyycRyJlfml,Whitechapel,477423,"['deathcore', 'melodic metalcore', 'metalcore', 'tennessee metal']",54,2023-04-03
186,2sxwR4yGCYUznXqgewA4Le,5WFeN8vtX0TYqv0IYVbWZT,Fenton Robinson,16596,"['blues', 'blues rock', 'electric blues', 'louisiana blues', 'modern blues', 'swamp blues', 'traditional blues']",47,2023-04-03
188,2u22XYHmJiVBl0HSW8jQFt,1Uff91EOsvd99rtAupatMP,Claude Debussy,1389946,"['classical', 'impressionism', 'post-romantic era']",71,2023-04-03
189,2u22XYHmJiVBl0HSW8jQFt,606pshIhidPHebEaDWSXDe,Mitsuko Uchida,44889,"['classical performance', 'classical piano', 'japanese classical performance', 'japanese classical piano']",49,2023-04-03
192,2v5eZAIW4MTEg8yEbAEB42,2jM44QDqboAQRKbiIqHIoE,Lulu Be.,3341,['escape room'],27,2023-04-03
194,2yMFXtHHJTMTv2ynWl6avF,5dncbrnveDMX9DgxcedeUg,Louie Vega,58443,"['afro house', 'chicago house', 'classic house', 'deep house', 'disco house', 'latin house', 'soulful house', 'vocal house']",49,2023-04-03
195,2yMFXtHHJTMTv2ynWl6avF,4ayLYM2DPcx5ItuBNT91IJ,Rick Wilhite,3611,['detroit house'],26,2023-04-03
198,2zUoxM02p2aSy7LOfI5rCy,19v0Cnq5D4SKom8SVlXhkw,Jean-Baptiste Lully,52349,"['baroque', 'classical', 'early music', 'french baroque', 'french opera']",49,2023-04-03
199,2zUoxM02p2aSy7LOfI5rCy,7mkcqdifmNkhfJ7XZ7WFFS,William Christie,17139,"['choral', 'classical performance', 'opera', 'orchestral performance']",48,2023-04-03
200,2zUoxM02p2aSy7LOfI5rCy,652tly1eoAkKzhJ5z4LsEx,Les Arts Florissants,7683,"['baroque ensemble', 'choral', 'classical performance', 'historically informed performance', 'musique ancienne']",42,2023-04-03
204,30XnkHIARv4lRe4tIbi4AY,2xlu6WzVa7WHwHhRptqq7c,Ida Sand,14301,"['contemporary vocal jazz', 'neo soul', 'vocal jazz']",50,2023-04-03
205,30XnkHIARv4lRe4tIbi4AY,4cBZdr2PjNdXrbkK9xhLJA,Stockholm Underground,76,[],34,2023-04-03
