,track_id,id,name,followers,genres,popularity
6860,1VYdx50j4dHw3fca2EpNNx,1ackd5XprZEkH3McKbQD51,Juan Magán,1739332,"['electro latino', 'latin pop', 'reggaeton', 'urbano latino']",71
6861,1VYdx50j4dHw3fca2EpNNx,33ScadVnbm2X8kkUqOkC6Z,Don Omar,8899584,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'urbano latino']",83
6862,5msW0VgKGq8KhJ7wBtMb1V,5kSJMVPcTITrSZxTrHllVN,Vanesa Martín,1044103,"['latin arena pop', 'latin pop', 'pop flamenco', 'spanish pop', 'spanish pop rock']",67
6863,5drGMFCADjEP1loYNmG5ER,00PLVqZ4oaOmbI4lacLUBO,Stiftelsen,241106,['swedish pop'],52
6864,48wasTAWCnaTLis82JjYDU,0Oomam5yjtfqVPnscjx8GT,Axel Schylström,5370,['swedish pop'],46
6865,48wasTAWCnaTLis82JjYDU,3WnmyxLdTHKN83h75tcb8P,Anis Don Demina,49245,"['fotbollslatar', 'swedish pop', 'swedish pop rap']",47
6866,0RJ9YsklvdpEWfUzOgQkcT,0NyrvUybTePmsuED5vZi4G,Den svenska björnstammen,269292,"['swedish electropop', 'swedish pop']",55
6867,6RwdlHUAQyecQdRqokJA1s,0FINyNBXqnTlRC4dvpSeSb,Gyllene Tider,152127,"['classic swedish pop', 'danspunk', 'swedish pop']",52
6868,5FCqEl4HKlUiz3Sl6Fhc3q,6IfZesOI3vKCZy8pjzVknj,Albin Johnsén,21107,"['swedish idol pop', 'swedish pop', 'swedish pop rap']",47
6869,1n0R2OhsCJSRzPOhzuEUc0,4PVn1b2WnnXdq80C7uaZLZ,Nause,194364,"['edm', 'pop dance', 'progressive electro house', 'swedish pop']",46
6870,1n0R2OhsCJSRzPOhzuEUc0,16MsIlrZeMWpSAk1RlULB6,Daniel Gidlund,1963,[],36
6871,0bOLcsauquzlMWdaONJPyx,6YbvyuBTs8JbVj7iyurrJe,teamwork.,3486,['la pop'],36
6872,0bOLcsauquzlMWdaONJPyx,7AzjETXRUKNRSJHMW9GIqd,Nina Nesbitt,328436,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'neo-singer-songwriter', 'pop', 'post-teen pop', 'uk pop']",63
6873,0bOLcsauquzlMWdaONJPyx,6dn6x1XOng3LOAnfTjUn77,AJ Mitchell,853481,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'social media pop']",64
6874,4GlvaiAvcjKhPNJIqpLm0i,4maR8o69pil8CrclOiFVVW,MC HotDog,103155,"['mandopop', 'taiwan hip hop', 'taiwan pop']",49
6875,6v941XN5fjWUFXli7C1KHJ,1AIrEsIWKWiJJ6lfkLmtWK,Bii,176102,"['mandopop', 'taiwan pop']",47
