,track_id,album_id,artists_id
0,2tnVG71enUj33Ic2nFN6kZ,4zOhjJfe0dwqsNdDYk622E,['4ofCBoyEiGSePFAG500xev']
1,5cBrOhKDyiJF9bPGUHKkG0,5ka8beHlVQAFdRm6IaZ9JQ,['0KPX4Ucy9dk82uj4GpKesn']
2,02RCbjb9czvQKNGBmEmWob,1ynyQdPQiXdYJNQEDL1S3d,['5f7VJjfbwm532GiveGC0ZK']
3,4NqQaovM14WR2hNPMFxgjb,5lJqux7orBlA1QzyiBGti1,['4q3ewBCX7sLwd24euuV69X']
4,5eEQCfq7MXQr6aHLNRUZLs,30FZign4ARPElEZ23nU0ns,['2R21vXR83lH98kGeO99Y66']
5,0tc8HGXosQDC8TTAaON1TP,5u8ROV5ieQOl1QQoGKJtFu,['3bAa4FKwIgwWYHdaUJicmE']
6,4ml7hnH3FtGeUDMhzVmnrj,2GLuHlc49dJKY8yzxUZb8p,"['3IW7ScrzXmPvZhB27hmfgy', '6Te49r3A6f5BiIgBRxH7FH']"
7,4NhDYoQTYCdWHTvlbGVgwo,4kIWi5LcrqAWQD09CE05Ps,['7gZfnEnfiaHzxARJ2LeXrf']
8,3kW4z2pIj5VY5fLjBrMRL5,7IyoGB8J31fvQDwGtHAq9m,['4O15NlyKLIASxsJ0PrXPfz']
9,6fLVTVaHWaEfVKfEgbkf4D,6OQ9gBfg5EXeNAEwGSs6jK,['3TVXtAsR1Inumwj472S9r4']
10,1I55Ea0zVoSKs6MqW7DQ3i,6OQ9gBfg5EXeNAEwGSs6jK,['3TVXtAsR1Inumwj472S9r4']
11,6EWz8fvttnPEd3FV0Dtv5w,3lcftcc6ksaPBGRN839LYO,['7bmYpVgQub656uNTu6qGNQ']
12,2FUFFJNRIr0XnWWlL3zfYb,7MenxXNX8NaBCcQtu40ccR,['1caoBfXJrbKCwIaTzGkyHn']
13,5pXy29xzxR3aTB0SYRI590,2mX8ktJoWvyidWBU9U8Jis,['1vyhD5VmyZ7KMfW5gqLgo5']
14,3KixNgUEaDtrKJVzdqjU5q,6OQ9gBfg5EXeNAEwGSs6jK,['3TVXtAsR1Inumwj472S9r4']
15,0jT8Nl0shPS8115is0wD2Q,6xS6mQz1fQZ6eZE654J15I,['28gNT5KBp7IjEOQoevXf9N']
16,0SqqAgdovOE24BzxIClpjw,5lJqux7orBlA1QzyiBGti1,['4q3ewBCX7sLwd24euuV69X']
17,4TOmcZvw0gHa7GiXRbcYAW,3js3vnaiDDghVu9ADH93Q5,"['2LRoIwlKmHjgvigdNGBHNo', '14zUHaJZo1mnYtn6IBRaRP']"
18,2DEZmgHKAvm41k4J3R2E9Y,5lJqux7orBlA1QzyiBGti1,"['4q3ewBCX7sLwd24euuV69X', '4IMAo2UQchVFyPH24PAjUs', '12vb80Km0Ew53ABfJOepVz']"
