id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0tYtfBFJLVn2ITE66FbaLT,0.603,0.816,1,-3.549,0,0.0335,0.0104,5.7e-05,0.133,0.401,149.934,188562,4
3KbOflJ5JqHWtmco4PiO3h,0.364,0.167,7,-12.168,1,0.0361,0.867,0.00116,0.358,0.143,121.218,295202,4
0HEzuLLojblUOaUSdmJ9gl,0.457,0.343,0,-9.387,1,0.0305,0.805,0.0182,0.12,0.0562,119.94,285051,4
6x8g6DxglrzCSwKhv2Q1ee,0.326,0.245,0,-12.337,1,0.0293,0.958,0.00389,0.157,0.0695,126.725,215295,4
5nW4z3pfZgJAJ2QTCz9AIE,0.421,0.247,10,-14.655,1,0.143,0.665,0.375,0.115,0.139,161.468,433916,4
4fFqFgMDP9lY8tqEoArFGq,0.476,0.33,9,-10.48,1,0.102,0.96,4.39e-05,0.221,0.368,77.111,276757,4
3MlEryrxCKZkcfX18ZLX96,0.343,0.142,11,-16.432,0,0.0395,0.871,0.0103,0.0915,0.0799,116.295,314520,4
2JFVBojvTHpSZLoyowuZys,0.291,0.319,9,-11.651,1,0.034,0.983,0.55,0.0627,0.0653,103.496,213435,4
4VL310GGX3b2ixL3sV0Je8,0.447,0.0858,9,-15.806,1,0.042,0.984,0.00331,0.242,0.173,116.091,378952,4
1BUckPDAi8NYfLN7EiQcQA,0.439,0.192,5,-13.564,1,0.0418,0.924,0.000643,0.158,0.0786,124.232,348256,3
0Oqxt6JixieLHbwMfnJGWO,0.315,0.102,0,-17.621,0,0.034,0.985,0.0512,0.109,0.185,169.69,206723,3
55LnC7VuUvayQ3fW0CvDL6,0.348,0.224,8,-10.36,1,0.0321,0.936,0.0225,0.297,0.0818,79.608,240287,4
4qG7hWhljsqqENL5PaLA2z,0.327,0.452,9,-9.726,1,0.0277,0.344,0.00332,0.11,0.202,132.427,278126,4
1o82DwNisONAd2mu1RcGE6,0.452,0.247,9,-13.24,1,0.033,0.972,0.132,0.0577,0.216,102.412,339891,4
4Cg9XRHLP3s5ZiQaIdL4zW,0.529,0.235,3,-15.226,1,0.045,0.949,0.000259,0.26,0.0659,89.042,242548,4
2Rlso2ZNV0PaWwUYeeBYxx,0.487,0.515,4,-11.767,0,0.19,0.633,0.176,0.111,0.35,156.738,248928,4
79wgotDiVZml9PiTtNtYBA,0.382,0.366,9,-12.146,0,0.0591,0.625,0.107,0.112,0.0395,157.862,353277,4
5YbGrhQCpOT4aOTlFgACke,0.578,0.867,4,-4.317,1,0.0569,0.011,0.0,0.34,0.548,143.912,177253,4
5zqdoQXjMmqb1GyzTKa4E9,0.418,0.895,4,-5.626,0,0.0966,0.000965,0.000475,0.302,0.218,157.803,279737,4
562RwVsxP4JjNCbXH4dDcy,0.514,0.779,8,-5.136,1,0.0417,0.00314,1.3e-05,0.0637,0.313,91.089,217538,4
7u2nN6yhi4SfFyMHLE032Q,0.646,0.798,4,-5.283,0,0.0767,0.000305,9.84e-05,0.0922,0.821,113.959,215601,4
325pIhoHocYWIMMi5Ik2UB,0.487,0.859,11,-5.175,0,0.0538,0.00799,0.0,0.13,0.552,179.963,209862,4
69D0E2HjmuE82mGStp0D7Y,0.478,0.733,7,-5.788,0,0.0823,0.0916,0.0,0.284,0.32,160.039,236755,4
0GbJXh142SGBmH9fsiFsEL,0.409,0.853,4,-3.631,1,0.0691,0.000323,0.00023,0.324,0.557,180.096,178864,4
1Oi8jp3BvmESVXIPtJ06a5,0.405,0.435,11,-8.215,1,0.0514,0.83,0.000378,0.242,0.433,123.723,62318,3
6VVqRqoYJ7AXAiYdNjovfX,0.568,0.765,3,-4.598,0,0.0342,0.186,5.81e-06,0.154,0.482,146.002,225945,4
1OTmAYLW3j83NSUx13kjnt,0.567,0.868,4,-5.864,0,0.056,0.000771,0.000131,0.389,0.342,96.483,217679,4
5ZSqX1dDJ823Dndw94nogY,0.4,0.471,1,-12.394,0,0.161,0.888,0.048,0.115,0.0385,84.481,67804,3
