,track_id,album_id,artists_id
0,6EOKwHETwSkZ9gW2b6ASE0,65T18oWoikW2MAilg9j8lW,['4Ga1P7PMIsmqEZqhYZQgDo']
1,0a1LpYLrp1VNwEekoqFJx5,5eDB3cEFNX5W10auAjFPQk,['0kSazizYsGZQYKRfROiVb8']
2,1esVK0wgkpFJ31eHvHZ7M9,0sbwoolm9aZGBPBEqoU3CX,['3qNVuliS40BLgXGxhdBdqu']
3,1RgSs1Jy3QHiacsnMxAAL2,1fK3kyhjoaQBDofh8Ppfjl,['44T03OWDUjwDgg4IYgFCWi']
4,7zFBtYAVURF3bUVqEQ6UUu,2y2Nuvvw5xNDYOunTSsgf1,['2KC9Qb60EaY0kW4eH68vr3']
5,44ZRUhwJopErgSsvJ8iH7I,2m6gFPx1GNwcVNsjNSPQ6C,['2ao7Jx5TiinWuCtz6Lig4g']
6,5lcL51XmmTrQy09H85wIJZ,1aEHMLU6feBBLGMPMNtZRH,['7ygNQCdpQWW7iSWAxDhvhI']
7,3dLiBBKbeUIhzGNeuo5JGS,1FvTfT61pqrVLvT0G6SZrI,"['1bAftSH8umNcGZ0uyV7LMg', '5pughe5rcsOq3GF0utMOs5']"
8,6sAwJPgaSQ9Q4XGnbx1gZb,2Vuq0IsELmGGmdoBqvgaYC,"['1r4hJ1h58CWwUQe3MxPuau', '4obzFoKoKRHIphyHzJ35G3', '7FNnA9vBm6EKceENgCGRMb']"
9,3gu0fRSgFuc4FmrtIv0DnC,4zbMionGv9W33xjQfoMyuo,"['1wZtkThiXbVNtj6hee6dz9', '1i8SpTcr7yvPOmcqrbnVXY']"
10,3T5QSIgoaPIh07SwixRDp7,4kkZsCc8FiqMmq1sLBk6Na,"['47MpMsUfWtgyIIBEFOr4FE', '1Ts9of7VPZElwPQnqnDSfW', '2R21vXR83lH98kGeO99Y66', '00XhexlJEXQstHimpZN910', '2DspEsT7UXGKd2VaaedgG4']"
11,68NhevkESo24f9nTL8fDFP,0H6WiJAgs0D0bH8ObA7xBc,['3vQ0GE3mI0dAaxIMYe5g7z']
12,3M2cSpHsIk0xUvTsWbkM1q,00pZdI6oi6NPc9rJsyB0Le,"['7ygNQCdpQWW7iSWAxDhvhI', '1qoJTYkRvsRJMTOxnUnpNW', '2Jb9jVnCpWkXtoGznFJ6bF']"
13,0Ldh6OMRNPUAkDazVwnKWP,24UNJ5xGStzLSTCSaELuJi,['68mkWeq03e98dvIEI0jr0N']
14,5Rb1YFwlxt1AgMaqbOpZzf,65Z4VN8ZKEYkqM6K2yNoRl,['6pVmT18pd1QaofDegZUEKX']
15,0cAPaxRoHX5DPpdV8MQcS8,5sWkzmy3eJNYFPcVcqlbl3,['4She1focTkX0pwpJUtS5eo']
16,7kuRvjpeUcn6qNV9IBXC2C,00op2xzUMjsxCj6aCmcnFJ,"['2QUvtLq6oQaX0LNsYY2fas', '00XhexlJEXQstHimpZN910', '1TtXnWcUs0FCkaZDPGYHdf', '00me4Ke1LsvMxt5kydlMyU', '11YLRSsZA3YVuQQtHXKTlz', '37230BxxYs9ksS7OkZw3IU']"
17,2ZixSR7OKIpdPUk4dwOekn,103gKD0qsWOSKEvgRnKjJi,"['3Mr0TsHv8DUbDBMEFW2L9T', '25EjahuVJSUCDKUBZXZatX', '5L6GbwWUM3Oi5GPnkmmp24', '2CEKDXUTkOu4LnGFysySTg', '3NSJOyQdSXncJloHqhwlQB', '6pVmT18pd1QaofDegZUEKX', '3OSozwQXzKD9PY3M4hfkEW', '7zGKMkRT4IMLgAJmFhf5cz', '3OrjkcpKAlJClVOopBZicQ', '7s652lD4v77szrPEfgMTBi', '0YykZZ5GBtvN0rOjEMIiK6', '1wsio1S9CIIbEuGSYkSAyQ', '6Q6qTNC2rAegcR5QjzcRgE', '2ao7Jx5TiinWuCtz6Lig4g', '2Htm0q72SjGSmsy8EOIhRG', '1SRNZiV2995TDuGjCrzJX0', '3INpNKdy8YeJs8AjyTZ6Hd', '2Mu8h5sFkOziL0Rfn7FXIA', '0VKh7CQDi9MkUvaBMoK1V0', '0Ix9ueRtVdLF0RglhJVT7X', '13KeE3TnUrYh367HJu0sMx']"
18,76BnEV7y0FIyDodcCt9sxC,7Hui8LAkH3zKpZMIztPYLr,['6pVmT18pd1QaofDegZUEKX']
19,2cTKuxpHcPzDFRbbhE2WxP,5Pw7NFds3tRzOKWB0M1z03,['3ghRXw2nUEH2THaL82hw8R']
20,1IlbkW24QMlXRs5GF15FMM,3M6L2peQKmTxdvJpiB61Ku,['6oMRQ5H3A2XA5I3RG3leni']
21,0mAkTqg7vQ8YmpQ7o1I6gR,3gMnERVCnd3UEDAieJkuRY,['1bAftSH8umNcGZ0uyV7LMg']
22,6KzeUBu1BE8q24CblG6oku,5fPNASmvNeT43QSYp6Asd2,['2Mu8h5sFkOziL0Rfn7FXIA']
23,4VhLKoBrfuxHbBOi5Xi26D,1khWyuEDvHj907kCW4ZZQW,['6oMRQ5H3A2XA5I3RG3leni']
24,6NipZljiEekGRNF6vddEP3,3WuwesFp1zHaIQa98Y3Fcn,['6Q6qTNC2rAegcR5QjzcRgE']
25,6JtV50W4szsOD04QREQgXk,1BtjQQmVRRs5m7AoBh81Xv,['7HSeegdmjLYRJpkOYIaZIW']
26,0XKe4lkaD7kGhMwYXlg1Pn,7d4fudNO8112vlsHMyFaEq,['7ygNQCdpQWW7iSWAxDhvhI']
27,03G43mO3a34IGIsyDd4sj5,1r02rGE96IPnrhhcHbZdWE,['09jut908wvFm55SqnO4DN3']
28,0Ir7G0Xba6PIDUBKObagNA,5geMZxxpE1Sdb28KBGzblh,['6pVmT18pd1QaofDegZUEKX']
29,2KTrV1P4FIooFm8wFRcUBQ,4Qjy0jhjBUFH1btd8lmg6Q,['71LpuZycPgIv82EdxoRIrt']
30,4bSCJTXKPSb63oyOteNLSR,66rMML0MqFyPkNgL3n98qQ,['3vQ0GE3mI0dAaxIMYe5g7z']
31,3GUMMzUB7Kk0BSqxEDyieS,5A0jz6qj9yuxVpQxahbC0x,['3YeBTR1Q1rUxKguz4jP6UV']
32,0todbbT9g5uQGbeFCiBf2F,61c5zqfBCSPO1tb3DFbbFB,['66CXWjxzNUsdJxJ2JdwvnR']
33,7pdF27mSDuPWhppnHAmWHa,1qsQOC4Jn0fnaUZLAbs4dz,['15UsOTVnJzReFVN1VCnxy4']
34,1NJcg626wLln4pGHpiV7mf,5YCdlD3eREt72lTZxNL7id,"['6qqNVTkY8uBg9cP3Jd7DAH', '6LuN9FCkKOj5PcnpouEgny']"
35,2FUNBaa5DwItJtYEBgAblU,007DWn799UWvfY1wwZeENR,['1URnnhqYAYcrqrcwql10ft']
36,4NBTZtAt1F13VvlSKe6KTl,6ZvDJs17O3woQirttKRYCG,"['69GGBxA162lTqCwzJG5jLp', '3RqBeV12Tt7A8xH3zBDDUF']"
37,3gicyfiEVMGONgzygpWjNT,1TwCR17ZsRgWTo00mmlzqq,"['5iNrZmtVMtYev5M9yoWpEq', '7EQ0qTo7fWT7DPxmxtSYEc']"
38,1KVczjazCcCCgM3gXXUl47,7dQ734EW0iLvQfF6vBFNiZ,"['5CiGnKThu5ctn9pBxv7DGa', '4MCBfE4596Uoi2O4DtmEMz', '6eYFryfcEu3QSq59D62wZQ']"
39,3Ol2xnObFdKV9pmRD2t9x8,3r5hf3Cj3EMh1C2saQ8jyt,['31W5EY0aAly4Qieq6OFu6I']
40,0jAfdqv18goRTUxm3ilRjb,3r5hf3Cj3EMh1C2saQ8jyt,"['31W5EY0aAly4Qieq6OFu6I', '5LHRHt1k9lMyONurDHEdrp', '4DdkRBBYG6Yk9Ka8tdJ9BW']"
41,1V1NpX9DlBb9koXof9nIBF,37PlDQrSCWOiQlrA1AvUqx,['5ZsFI1h6hIdQRw2ti0hz81']
42,4Uy3kNxW2kB8AEoXljEcth,35s58BRTGAEWztPo9WqCIs,"['0hCNtLu0JehylgoiP8L4Gh', '2R21vXR83lH98kGeO99Y66', '6tt0iYnpHERj05WATWRiom']"
43,0kLA41xkWzzYzMIEGFuDkP,0cJaDZsTnVdPISLCE57ZCd,"['10XY9PZCJKzUFzZOdtlQLU', '0b62itBWBdLgiecXjXCqKC', '1aS5tqEs9ci5P9KD9tZWa6', '5eioJDe26lOqkAMbuhzZYs', '5qZLYtTL3ldN6Uw7OXHESR']"
44,31Zs71Yb7YoPlFx2p1uKRX,4fLBtr12qHedCFEC8WOGoE,"['39KEQQAG9JhIt71g9NEVhh', '2otUckChxWf2cp6UP2cD6e']"
45,0dGSOCj6hdV5Nr0V8FjONc,32uLGZoejiNFoqp8BvrogN,"['3ZuBEj9ppJe8GSdKaMTfMN', '5y9wg9qkGBl0n9v9RzaPKu']"
46,4nBcGqwztDJ29cyHVJtXsB,006lI9qEClLEEax4Y4wx4L,['2Im8m4STDBosjfmb5hmP80']
47,6hFmSZIw5gmn9mK4hfqozy,6leaP5XOAiDxj5tJsHI2F0,['4lDiJcOJ2GLCK6p9q5BgfK']
48,3mulaE9xF8LhmwZN61kHvS,5b7TYeACzzjO2oJHaB1Ebb,"['08ao8gzTHBtNf5Laf9jjwR', '6NG0bF3tpQuQOixbzFPLIv']"
49,2rywPj7CeWfOCri6uZiOw0,5AktdfKrkMovI4fu1UtmDR,['0zW1Z8MPCF2XkoCLjH5JzE']
