customer_id,verified_purchase
10000176,1
10000509,1
10001233,1
10001479,1
10001664,1
10002002,1
10002091,0
10002164,1
10002264,1
10002558,1
10002797,1
10004068,1
10004673,0
10005265,1
10005513,1
10006426,1
10006433,1
10007922,1
10008058,0
10008262,1
10008677,1
10008893,1
10009309,1
10009339,1
1000937,1
10009387,0
10009976,0
10010573,0
10011134,1
10012051,1
10012118,1
10012459,1
10012541,1
10012755,1
10014562,1
10014606,1
10015012,1
10015425,1
10016026,1
10016248,1
10016562,1
10017172,0
10017298,1
10017318,0
10017597,1
10018275,1
10018702,0
1001932,0
10019957,0
10020059,1
1002142,1
10021607,1
10021798,1
10022786,1
10023358,0
10023853,1
10024382,1
10024513,0
10025077,0
10025357,1
10025956,1
10026075,1
10026313,0
10026671,1
10027354,1
10027458,1
10028179,0
10028257,1
10029194,1
10029392,1
10029703,1
10030537,1
10030850,1
10031091,1
10031493,1
10032043,1
10032455,1
10032970,0
10033109,1
10033383,1
10033832,1
10034892,0
10036171,0
1003630,1
10036635,1
10036716,1
10036837,1
10037003,1
1003822,1
10038263,1
10038365,1
10038548,0
10038593,1
10039569,1
10039658,1
10040564,1
10040807,1
10041697,0
10041909,0
10041934,1
10042244,1
10042726,0
10042949,1
10043070,1
10043313,1
10043329,0
10043331,1
10044449,1
10044780,1
10045186,1
10045405,1
10045466,1
10045494,1
10045848,1
10046973,1
10047540,1
10047786,1
10048273,0
1004847,1
10048596,1
10048905,1
10049027,0
10049032,1
10049821,0
10051473,1
10052096,1
10052222,1
10052862,1
10053045,0
10053436,1
10053588,1
10053859,1
10053889,0
10053891,1
10055608,1
10055628,1
10056437,1
10056559,1
10056876,1
10056977,1
1005712,2
10057185,1
10057776,0
10058224,1
10059918,1
1006002,1
10060419,2
10060632,3
10060830,1
10061205,1
10061750,1
10062096,1
10062381,1
10062406,1
10062408,1
10062918,1
10062957,0
1006370,0
10064087,1
10064553,1
10064661,1
1006494,1
10065335,0
10066200,0
10066576,0
10066637,1
10066696,1
10067258,0
10068214,1
10068423,1
10069147,1
10069150,1
10069631,1
10070108,1
10070200,1
10070250,1
10070406,1
10070433,1
10071240,0
10071524,1
10071659,0
10071684,1
10071852,2
10072608,1
10072672,1
10072813,1
10073510,1
10074019,0
10074969,1
10075082,0
10075427,0
10075472,0
10076107,1
10076258,2
10076749,1
10077043,0
10077605,1
10077698,1
10078896,1
10079273,1
10079829,1
10080198,0
10082164,1
10082659,1
10083882,0
10083975,0
10084325,0
10084338,1
10084395,1
10084725,1
1008491,1
10085026,1
10085248,1
10086284,1
10088131,1
10088591,1
10090579,1
10091067,1
1009123,1
10091534,1
10092330,1
10093650,1
10094215,1
10094628,1
10095371,1
10095411,1
10095841,1
10096019,1
10097667,1
10098012,0
10098474,1
10098816,1
10099299,1
10100040,1
10100554,1
10101358,1
10101446,1
10101661,0
10101966,1
10103020,1
10103093,0
1010325,1
10103866,1
10104607,1
10104806,1
10104993,1
10105047,1
10105841,1
10107980,1
10108372,1
10108593,1
10108898,1
10109712,2
10110602,1
10110801,1
10111643,1
10111867,0
10112506,1
10113052,1
10113383,1
10114275,1
10114896,1
10115209,2
10115244,0
10115455,1
10117662,1
10118916,1
10119568,1
10119808,1
10120648,1
10121062,0
10121451,0
10121596,1
10121940,1
10122037,1
10122046,1
10122439,1
10122592,0
10122999,1
10123435,1
1012352,1
10124168,0
10124193,1
10124467,1
10125491,1
10125621,1
10125709,0
10126141,0
10127424,1
10127597,0
10127688,1
10127892,1
10128719,1
10128776,1
10128967,0
10129765,1
10129824,1
10130528,1
10131270,1
10131387,0
10132597,0
10132732,1
10132850,1
10133147,0
10134136,1
10134195,1
10134707,1
10134856,0
10134893,0
10135354,1
10136366,0
10137290,1
10137498,0
10137619,0
10137994,0
10139101,1
10139231,1
10139318,1
10141022,0
10141084,1
10141501,1
10142257,1
1014245,0
10142470,1
10142654,1
10143057,1
1014309,1
10143890,1
10144173,0
10144844,0
10145410,1
10145736,1
10145942,1
10146780,1
10147684,0
10147771,1
10147878,1
10148181,1
10148445,1
10148734,1
10148943,1
1014931,1
10149345,0
10149513,1
10150191,1
10150642,1
10150672,1
10150881,1
10150892,1
10151414,1
10151597,0
10151709,1
10152809,1
10153119,1
10153425,0
10153487,0
10154312,1
10154500,1
1015530,1
10155473,1
10155821,0
10156532,1
10157324,0
10157849,1
10158888,1
10158956,1
10159101,0
10159222,0
10159534,0
10160235,0
10160804,0
10161160,1
10161565,1
10162636,1
10162769,1
10163805,1
10164182,1
10164682,0
10164864,0
10165754,1
10166522,1
10166766,0
10167053,1
10167166,1
10168189,1
10168883,1
10169332,1
10169440,1
10169847,1
10170121,1
10170460,1
10170543,1
10170661,1
10171411,1
10171667,1
10172471,1
10172553,0
10173243,1
10173825,1
10174503,0
10174554,0
10175224,1
10175277,1
10175335,1
10175375,1
10175810,2
10176097,1
10176262,1
10176600,1
10176699,0
10177376,1
10177859,0
10178284,1
10179034,1
10179206,0
10179221,1
10179236,0
10179609,0
10179910,0
10181242,0
10181875,1
10182712,1
10183376,1
10183482,1
10183760,1
10183780,1
10184093,1
10184202,1
1018432,1
10184515,1
10185737,0
10185978,1
10186056,1
10186446,1
10186798,1
10187298,1
10187777,1
10188550,1
10188658,0
10188974,1
10189181,1
10189720,1
10189938,1
10190252,0
10190695,1
10190754,0
10190885,0
10191029,1
10191884,1
10192368,1
101924,1
10193222,1
10193224,1
10193521,1
10193987,1
10194279,1
10194541,1
10194568,1
10195292,1
10196247,1
10197483,0
10197948,0
10198724,1
10198893,1
10198955,1
10199029,0
10199103,1
10199694,1
10200518,1
10201567,1
10202553,1
10205841,0
10205917,1
10206161,1
10207757,1
10208744,0
10209346,1
10209622,1
10209682,1
10210014,0
10210143,0
10210192,1
10210291,1
10210359,1
10210727,1
10210988,1
10211357,1
10211368,1
10211705,1
10211976,0
10212019,1
10212152,0
10212475,0
10212913,1
10213099,1
10213136,0
10213463,1
10213508,0
10213939,1
10214523,0
10215040,1
10215312,2
10215329,1
10215383,1
10215593,1
10215661,0
10216047,0
10216685,0
10216738,1
10217375,2
10217585,1
10218136,0
1021853,0
10219021,1
10219906,0
10220218,1
10221137,1
10221447,1
10222002,1
10222173,1
10222382,1
10222776,1
10223164,0
10223252,1
10224315,1
10225137,0
1022557,1
10226331,1
10226337,1
10227175,0
10228135,0
10229406,0
10229530,1
10229868,0
10230164,0
1023090,1
10231674,1
10231741,1
10232578,1
10232960,1
10233621,1
10233727,1
10233903,1
10234498,0
10235320,1
10235355,0
10235527,0
10235847,1
10236611,1
10236991,0
10237318,1
10237463,1
10237876,1
10238135,1
10238651,1
10238939,0
1023900,1
10239673,1
10239743,1
10240279,1
10240585,1
10241259,1
10241799,1
10244168,1
10244510,1
10245139,1
10245157,1
10245463,1
1024670,1
10247159,0
10247208,1
