,track_id,id,name,followers,genres,popularity
1214,0IG7dbPiBmxrrUKL7Sowvr,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1215,0IG7dbPiBmxrrUKL7Sowvr,5ziH2Z9Gl3M1FhcYvrLHpv,Mr. Bonzo,16,[],22
1216,0IG7dbPiBmxrrUKL7Sowvr,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1217,0IG7dbPiBmxrrUKL7Sowvr,5ziH2Z9Gl3M1FhcYvrLHpv,Mr. Bonzo,16,[],22
1218,5gNYk6RbPrvHbzLB0KSXK5,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1219,5gNYk6RbPrvHbzLB0KSXK5,3mil6Fz5Ettkb6BZM45cU0,Esaw,43,[],39
1220,5gNYk6RbPrvHbzLB0KSXK5,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1221,5gNYk6RbPrvHbzLB0KSXK5,3mil6Fz5Ettkb6BZM45cU0,Esaw,43,[],39
1222,0PAg487fyKbHtBTxdd32Z5,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1223,0PAg487fyKbHtBTxdd32Z5,6FojzL1FSEP6e5y8gln9H9,Sammy Velasquez,10,[],24
1224,0PAg487fyKbHtBTxdd32Z5,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1225,0PAg487fyKbHtBTxdd32Z5,6FojzL1FSEP6e5y8gln9H9,Sammy Velasquez,10,[],24
1226,3Ei9pT0nZb1cyUFBnWcrIt,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1227,3Ei9pT0nZb1cyUFBnWcrIt,6FojzL1FSEP6e5y8gln9H9,Sammy Velasquez,10,[],24
1228,3Ei9pT0nZb1cyUFBnWcrIt,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1229,3Ei9pT0nZb1cyUFBnWcrIt,6FojzL1FSEP6e5y8gln9H9,Sammy Velasquez,10,[],24
1230,7jsL3dmUm4NhQmDLME3sHk,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1231,7jsL3dmUm4NhQmDLME3sHk,6iESQ2GxPIqtCGhZlG4JuL,DJ Benz,689,['greek trap'],32
1232,7jsL3dmUm4NhQmDLME3sHk,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1233,7jsL3dmUm4NhQmDLME3sHk,6iESQ2GxPIqtCGhZlG4JuL,DJ Benz,689,['greek trap'],32
1234,36yJKxljgprQtpo8K8mkDH,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1235,36yJKxljgprQtpo8K8mkDH,6YxjAAOm4MVd55JQM8ijbG,DJ PaCo,983,[],43
1236,36yJKxljgprQtpo8K8mkDH,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1237,36yJKxljgprQtpo8K8mkDH,6YxjAAOm4MVd55JQM8ijbG,DJ PaCo,983,[],43
1238,2IALlryygPskjrMv4pBpom,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1239,2IALlryygPskjrMv4pBpom,6YxjAAOm4MVd55JQM8ijbG,DJ PaCo,983,[],43
1240,2IALlryygPskjrMv4pBpom,1LxWE4LOhnqeaAx2tVUK6p,Saske,186850,"['greek hip hop', 'greek pop', 'greek trap']",60
1241,2IALlryygPskjrMv4pBpom,6YxjAAOm4MVd55JQM8ijbG,DJ PaCo,983,[],43
1242,7lv4lCunKlvCc677XLLclB,1MicVtcHS3vuNVCrd1un7s,Nikos Oikonomopoulos,347831,['greek pop'],58
1243,7lv4lCunKlvCc677XLLclB,1MicVtcHS3vuNVCrd1un7s,Nikos Oikonomopoulos,347831,['greek pop'],58
1244,0cRdPQhJwgKl2NEvtjUaz7,3rQXUpppnyxRkQNxoLFtUV,Crazy Design,136252,"['dembow', 'dominican pop', 'rap dominicano']",48
1245,0cRdPQhJwgKl2NEvtjUaz7,3NpG6SsHaQETkdQVZH6V1E,Kiko el Crazy,92278,"['dominican pop', 'urbano latino']",56
1246,0cRdPQhJwgKl2NEvtjUaz7,3rQXUpppnyxRkQNxoLFtUV,Crazy Design,136252,"['dembow', 'dominican pop', 'rap dominicano']",48
1247,0cRdPQhJwgKl2NEvtjUaz7,3NpG6SsHaQETkdQVZH6V1E,Kiko el Crazy,92278,"['dominican pop', 'urbano latino']",56
1248,6v3uWYfmamDBjB9gylwDwl,4riOEaOW5hCeqomFDBk0aP,Rochy RD,906129,"['dembow', 'dominican pop', 'rap dominicano', 'urbano latino']",68
1249,6v3uWYfmamDBjB9gylwDwl,4riOEaOW5hCeqomFDBk0aP,Rochy RD,906129,"['dembow', 'dominican pop', 'rap dominicano', 'urbano latino']",68
1250,4W5ed2BFQtDPFauzWgSgT3,3LE41qCjcf1FeakeVX7OxB,Lena Zevgara,32286,['greek pop'],41
1251,4W5ed2BFQtDPFauzWgSgT3,5dwadtCk3MY582FXpBAHwz,Michael Touratzidis,260,[],44
1252,4W5ed2BFQtDPFauzWgSgT3,3LE41qCjcf1FeakeVX7OxB,Lena Zevgara,32286,['greek pop'],41
1253,4W5ed2BFQtDPFauzWgSgT3,5dwadtCk3MY582FXpBAHwz,Michael Touratzidis,260,[],44
1254,3UBE9swDF71ARoV42g6Fcx,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,88699708,"['dance pop', 'pop']",93
1255,3UBE9swDF71ARoV42g6Fcx,63XBtGSEZINSyXylZxEUbv,Victoria Monét,654533,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop', 'post-teen pop', 'r&b', 'rap']",68
1256,3UBE9swDF71ARoV42g6Fcx,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,88699708,"['dance pop', 'pop']",93
1257,3UBE9swDF71ARoV42g6Fcx,63XBtGSEZINSyXylZxEUbv,Victoria Monét,654533,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop', 'post-teen pop', 'r&b', 'rap']",68
1258,5EJ2THuhAapEIeQOtXUQ0x,7okwEbXzyT2VffBmyQBWLz,Maná,9423798,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",80
1259,5EJ2THuhAapEIeQOtXUQ0x,7okwEbXzyT2VffBmyQBWLz,Maná,9423798,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",80
1260,42kKlCZeqp1rJyVf70fmEW,6YlGm6QDrC3TOknYcHjt62,Juno Mak,100604,"['c-pop', 'cantopop']",48
1261,42kKlCZeqp1rJyVf70fmEW,6YlGm6QDrC3TOknYcHjt62,Juno Mak,100604,"['c-pop', 'cantopop']",48
1262,0qBuGFfOBPBDbyI3WsNTEz,4RsRmCGtK9yJmtQulq4lBo,Jill Vidal,20445,['cantopop'],34
1263,0qBuGFfOBPBDbyI3WsNTEz,4RsRmCGtK9yJmtQulq4lBo,Jill Vidal,20445,['cantopop'],34
1264,1ce2LueY8jN7x1a7jXXZsg,1wFoE1RwBMWoWkXcFrCgsx,Josylvio,595168,['dutch hip hop'],67
1265,1ce2LueY8jN7x1a7jXXZsg,1EYdbYpGAuJy6uZo4sVMoM,Idaly,93521,"['dutch hip hop', 'dutch pop', 'dutch rap pop']",65
1266,1ce2LueY8jN7x1a7jXXZsg,1wFoE1RwBMWoWkXcFrCgsx,Josylvio,595168,['dutch hip hop'],67
1267,1ce2LueY8jN7x1a7jXXZsg,1EYdbYpGAuJy6uZo4sVMoM,Idaly,93521,"['dutch hip hop', 'dutch pop', 'dutch rap pop']",65
1268,5SBzfFTXKKcyv6hGR0IVqg,4UXJsSlnKd7ltsrHebV79Q,Nick Cave & The Bad Seeds,1256875,"['art rock', 'permanent wave']",65
1269,5SBzfFTXKKcyv6hGR0IVqg,4UXJsSlnKd7ltsrHebV79Q,Nick Cave & The Bad Seeds,1256875,"['art rock', 'permanent wave']",65
1270,3H44zNYVAnMM5vqAHVOZ6X,4UXJsSlnKd7ltsrHebV79Q,Nick Cave & The Bad Seeds,1256875,"['art rock', 'permanent wave']",65
1271,3H44zNYVAnMM5vqAHVOZ6X,4UXJsSlnKd7ltsrHebV79Q,Nick Cave & The Bad Seeds,1256875,"['art rock', 'permanent wave']",65
1272,6WgWBjA8MA6HC5CFX4gF8K,1wFoE1RwBMWoWkXcFrCgsx,Josylvio,595168,['dutch hip hop'],67
1273,6WgWBjA8MA6HC5CFX4gF8K,0IxgA9wO4Op3CSnPlhfwV1,Kevin,141360,['dutch hip hop'],67
1274,6WgWBjA8MA6HC5CFX4gF8K,1wFoE1RwBMWoWkXcFrCgsx,Josylvio,595168,['dutch hip hop'],67
1275,6WgWBjA8MA6HC5CFX4gF8K,0IxgA9wO4Op3CSnPlhfwV1,Kevin,141360,['dutch hip hop'],67
1276,3gWIsIhg966ojnMbgumkW9,7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,18929799,"['arrocha', 'sertanejo', 'sertanejo universitario']",82
1277,3gWIsIhg966ojnMbgumkW9,7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,18929799,"['arrocha', 'sertanejo', 'sertanejo universitario']",82
1278,6poj56vC9JUu1yHTsv92WA,7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,18929799,"['arrocha', 'sertanejo', 'sertanejo universitario']",82
1279,6poj56vC9JUu1yHTsv92WA,2cy1zPcrFcXAJTP0APWewL,Gente De Zona,1511484,"['cubaton', 'latin hip hop', 'latin pop', 'urbano latino']",72
1280,6poj56vC9JUu1yHTsv92WA,7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,18929799,"['arrocha', 'sertanejo', 'sertanejo universitario']",82
1281,6poj56vC9JUu1yHTsv92WA,2cy1zPcrFcXAJTP0APWewL,Gente De Zona,1511484,"['cubaton', 'latin hip hop', 'latin pop', 'urbano latino']",72
1282,0VKlekNsxAGFjimD9MPeOq,7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,18929799,"['arrocha', 'sertanejo', 'sertanejo universitario']",82
1283,0VKlekNsxAGFjimD9MPeOq,7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,18929799,"['arrocha', 'sertanejo', 'sertanejo universitario']",82
