,track_id,id,name,followers,genres,popularity
0,7ammiC4TKHgMXP8RnccYcA,5Y7rFm0tiJTVDzGLMzz0W1,IMANU,41288.0,"['dutch dnb', 'future bass', 'vapor twitch']",54
1,7ammiC4TKHgMXP8RnccYcA,0u18Cq5stIQLUoIaULzDmA,DROELOE,207674.0,"['bass trap', 'edm', 'electronic trap', 'future bass', 'pop edm', 'vapor twitch']",56
2,7ammiC4TKHgMXP8RnccYcA,5Y7rFm0tiJTVDzGLMzz0W1,IMANU,41288.0,"['dutch dnb', 'future bass', 'vapor twitch']",54
3,7ammiC4TKHgMXP8RnccYcA,0u18Cq5stIQLUoIaULzDmA,DROELOE,207674.0,"['bass trap', 'edm', 'electronic trap', 'future bass', 'pop edm', 'vapor twitch']",56
4,6JO6fHEpjYE8ILDhweIqQj,2uGx10VkBrI3GBvnQl81du,MAMAMOO+,34117.0,[],47
5,6JO6fHEpjYE8ILDhweIqQj,7cEaNXXTHx3LokbjUUyHal,BIG Naughty,268637.0,[],62
6,6JO6fHEpjYE8ILDhweIqQj,2uGx10VkBrI3GBvnQl81du,MAMAMOO+,34117.0,[],47
7,6JO6fHEpjYE8ILDhweIqQj,7cEaNXXTHx3LokbjUUyHal,BIG Naughty,268637.0,[],62
8,0C3sscH57PNeQ8dmY6xTIR,4yYvor6Rq4fG82J1L47DYp,MICHELLE,80452.0,"['bedroom pop', 'indie pop', 'indie r&b']",54
9,0C3sscH57PNeQ8dmY6xTIR,4yYvor6Rq4fG82J1L47DYp,MICHELLE,80452.0,"['bedroom pop', 'indie pop', 'indie r&b']",54
10,0KGCTdgtxawKhrNrbuT10z,2ptmyXoL7poH6Zq62h1QT9,Merle Haggard,1184852.0,"['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']",62
11,0KGCTdgtxawKhrNrbuT10z,2ptmyXoL7poH6Zq62h1QT9,Merle Haggard,1184852.0,"['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']",62
12,0Pf2hR940vgS9iVk4CriZX,2xvW7dgL1640K8exTcRMS4,Chillies,805975.0,"['indie viet', 'v-pop']",56
13,0Pf2hR940vgS9iVk4CriZX,2xvW7dgL1640K8exTcRMS4,Chillies,805975.0,"['indie viet', 'v-pop']",56
14,0TdQ54hT5S5racTQAwdW3U,4Rj9lQm9oSiMlirgpsM6eo,Sauti Sol,391724.0,"['afropop', 'azontobeats', 'gengetone', 'kenyan pop']",52
15,0TdQ54hT5S5racTQAwdW3U,4Rj9lQm9oSiMlirgpsM6eo,Sauti Sol,391724.0,"['afropop', 'azontobeats', 'gengetone', 'kenyan pop']",52
16,0ZNail0sBLDyANc8rboHhs,0RBnTX5xoVa1bDYt9Qbies,Floorplan,40490.0,"['deep house', 'disco house', 'tech house', 'techno']",43
17,0ZNail0sBLDyANc8rboHhs,0RBnTX5xoVa1bDYt9Qbies,Floorplan,40490.0,"['deep house', 'disco house', 'tech house', 'techno']",43
18,0cb9Ov9eC2eFxac6bCcUZl,73mSg0dykFyhvU96tb5xQV,Hermanos Gutiérrez,184291.0,[],64
19,0cb9Ov9eC2eFxac6bCcUZl,6YWdHD3R863Apw1hkx3BwC,Dan Auerbach,335051.0,"['garage rock', 'indie folk', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock', 'stomp and holler']",57
20,0cb9Ov9eC2eFxac6bCcUZl,73mSg0dykFyhvU96tb5xQV,Hermanos Gutiérrez,184291.0,[],64
21,0cb9Ov9eC2eFxac6bCcUZl,6YWdHD3R863Apw1hkx3BwC,Dan Auerbach,335051.0,"['garage rock', 'indie folk', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock', 'stomp and holler']",57
22,0fWJG4fB5xWnpA7FWF6PXd,6xQvQwZQQuq9R3TdPNbcR8,Bassjackers,730110.0,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",59
23,0fWJG4fB5xWnpA7FWF6PXd,7wVdHjM4odGF5lGsqVSHJT,SaberZ,22457.0,"['belgian edm', 'big room', 'electro house', 'sky room']",47
24,0fWJG4fB5xWnpA7FWF6PXd,6xQvQwZQQuq9R3TdPNbcR8,Bassjackers,730110.0,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",59
25,0fWJG4fB5xWnpA7FWF6PXd,7wVdHjM4odGF5lGsqVSHJT,SaberZ,22457.0,"['belgian edm', 'big room', 'electro house', 'sky room']",47
26,0pKMDhDrQExUqF6SxUpTpb,7hssUdpvtY5oiARaUDgFZ3,Ina Wroldsen,161726.0,['norwegian pop'],60
27,0pKMDhDrQExUqF6SxUpTpb,0NGAZxHanS9e0iNHpR8f2W,Alok,12078647.0,"['electro house', 'pop nacional', 'slap house']",81
28,0pKMDhDrQExUqF6SxUpTpb,7hssUdpvtY5oiARaUDgFZ3,Ina Wroldsen,161726.0,['norwegian pop'],60
29,0pKMDhDrQExUqF6SxUpTpb,0NGAZxHanS9e0iNHpR8f2W,Alok,12078647.0,"['electro house', 'pop nacional', 'slap house']",81
30,11HCblH3YChzvCTGUB1hcs,0Yr4BBpK2dkCp2UsrJ9LZN,Bankrol Hayden,518133.0,"['melodic rap', 'pop rap', 'viral rap']",65
31,11HCblH3YChzvCTGUB1hcs,5ZdULxhIJLbR5bhCzcPTbu,Zzz.,14504.0,[],41
32,11HCblH3YChzvCTGUB1hcs,0Yr4BBpK2dkCp2UsrJ9LZN,Bankrol Hayden,518133.0,"['melodic rap', 'pop rap', 'viral rap']",65
33,11HCblH3YChzvCTGUB1hcs,5ZdULxhIJLbR5bhCzcPTbu,Zzz.,14504.0,[],41
34,1AiAQF07CLQmJq1oyc6gce,2jbd7OqeJJd1hz81vOXwwW,binki,86334.0,['modern indie pop'],53
35,1AiAQF07CLQmJq1oyc6gce,2jbd7OqeJJd1hz81vOXwwW,binki,86334.0,['modern indie pop'],53
