,track_id,id,name,followers,genres,popularity,extract_date
70,2a6EP73QVZxj0NSVEta4Ad,2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,4760298,"['classical', 'classical era', 'early romantic era', 'german romanticism']",73,2023-03-29
71,2a6EP73QVZxj0NSVEta4Ad,5vBh0nve44zwwVF5KWtCwA,Alfred Brendel,38798,"['austrian classical piano', 'classical', 'classical performance', 'classical piano']",53,2023-03-29
72,2a6EP73QVZxj0NSVEta4Ad,003f4bk13c6Q3gAUXv7dGJ,Wiener Philharmoniker,117038,"['austrian orchestra', 'classical performance', 'orchestra']",69,2023-03-29
73,2a6EP73QVZxj0NSVEta4Ad,4GQwgdcDQwqtcHICjUNndp,Sir Simon Rattle,49585,"['choral', 'classical performance', 'orchestral performance']",64,2023-03-29
79,2gzWtnslb715DPDTlJ5NSi,3ifxHfYz2pqHku0bwx8H5J,Amtrac,89979,"['chillwave', 'deep house', 'indie soul', 'nu disco', 'tropical house', 'vapor soul']",56,2023-03-29
82,2sSKTls9xVXRnVUe0g8v6O,6tvDaHOPNWfkc9Q8IghqSR,Walls,107632,"['rap conciencia', 'rap espanol', 'spanish pop']",57,2023-03-29
84,2vcdlFDuB7tjdYTCf0u6AL,0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,1130751,"['alternative hip hop', 'hip hop', 'indiana hip hop', 'rap', 'southern hip hop', 'underground hip hop']",69,2023-03-29
86,2yK1M21AlQ3RLalAmM59Oi,2tsnxjntsRI6iFL9ZeC0ec,Souf,235364,"['francoton', 'pop urbaine']",52,2023-03-29
88,351445Kofxc3BN2T27beOv,2Kx7MNY7cI1ENniW7vT30N,Norah Jones,2942909,"['adult standards', 'contemporary vocal jazz', 'jazz pop', 'neo mellow']",74,2023-03-29
89,351445Kofxc3BN2T27beOv,2rDxtYUzTAYJJE3Bl3Z5IN,Jeff Tweedy,84817,"['alternative country', 'indie folk', 'indie rock', 'new americana', 'roots rock', 'singer-songwriter', 'stomp and holler']",46,2023-03-29
92,35tWhD29yvWwB0IDRr6zsL,68kEuyFKyqrdQQLLsmiatm,Vince Staples,1718852,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']",69,2023-03-29
94,36qn2bFfZzUwM6eIv2XOc9,4P70aqttdpJ9vuYFDmf7f6,Vangelis,556904,"['cyberpunk', 'new age', 'synthesizer']",61,2023-03-29
96,38GuP87aSI8phjYj7TzZK8,3XXrhkZKSGd3CUJQFnx5tQ,Sublime With Rome,266685,['reggae rock'],54,2023-03-29
98,3B4eW2VXGdOdsbTyfF5oDE,4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,920736,"['alt z', 'pop']",76,2023-03-29
101,3Fn1AoG7bIcMKPKy30KtKD,4NgNsOXSwIzXlUIJcpnNUp,Sarah McLachlan,793963,"['canadian pop', 'canadian singer-songwriter', 'ectofolk', 'lilith', 'permanent wave', 'pop rock']",64,2023-03-29
104,3FvYLNM5ShB5vDCzGw8syX,2tEFDBihLXytoPl4xdResl,Felip,75622,['p-pop'],53,2023-03-29
106,3RJuptH9QoeJWzHd4ZCI0u,3kHVioJpVxlazAAKQ64pC1,Yuna,425706,['malaysian pop'],59,2023-03-29
107,3RJuptH9QoeJWzHd4ZCI0u,5CdJjUi9f0cVgo9nFuJrFa,Adventure Club,297474,"['brostep', 'canadian electronic', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']",54,2023-03-29
110,3g8DqSjSZyY1o30Y4xnWqs,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,3333403,"['belgian dance', 'belgian edm', 'big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",71,2023-03-29
112,3g8DqSjSZyY1o30Y4xnWqs,15xvsJMf8phaNa1LYvL9Qv,John Dahlbäck,118684,"['edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'swedish house', 'tech house']",50,2023-03-29
116,3wY2Adin3oA1aIF9VgZ0Kr,6N13mUTgkfYEUmW8R2GH0G,Idman,5865,[],40,2023-03-29
