,id,name,available_markets,total_tracks,genres,popularity
72,1P2btVGfdXQYnOrZKCglpN,Pasarla Bien,184,1,[],38
73,7f1X8Ks2QxRFtAvOPYK14E,No Llores Mas,0,5,[],0
74,1o9FV0S0KY1kqmYsacy4j8,Would I Lie to You,184,4,[],54
75,4AdZV63ycxFLF6Hcol0QnB,Starboy,184,18,[],86
76,6w1DnZpr9NFdjd0w3kxRno,Quiero Que Sepas,0,7,[],0
77,1g4pk2xu9KBJXTdtOwaO4C,Una Cerveza,184,10,[],62
78,0MB7Wln3Ojj44qEBJIeS2u,Me Ama Me Odia,0,1,[],0
79,6NomK9f7zRLOuScvAyI1XX,Just Hold On,165,1,[],54
80,4lVR2fg3DAUQpGVJ6DciHW,Dangerous Woman,0,15,[],0
81,3ji48bhsJZh2N2hWFjsVcM,Revolucionario,169,11,[],43
82,0yLhNN1wvArT1xOU9Y8s4S,Todo Comenzó Bailando,184,12,[],65
83,3vKCCBYeYS6oE1gYSNlU5L,Cheap Thrills Remix (feat. Nicky Jam),171,1,[],42
84,1q5McGPHaKrkksCbFYFzdA,Por Eso Canto para Bailar,184,13,[],39
85,77jAfTh3KH9K2reMOmTgOh,This Is Acting,166,12,[],78
86,0pF0oyuPNdOObniB1Ng0kW,7/27 (Deluxe),182,12,[],73
87,6E0p38TjcK490itZ1Ns7bD,Nine Track Mind,1,14,[],56
88,5wtK6rD6OVbGxxiQ7gzgfD,Diles,0,1,[],0
89,5dpzYigmd97HcZOxWMpv9h,11,184,11,[],58
90,2oygVM25oyhOD01iz2xDzh,Invicto,184,16,[],54
91,4zmEH94wVvV6xy2NwRTHYL,Amor y dolor,184,1,[],39
92,3HZYz8zwaylv9XeIIlLzAX,Agapornis - Volando Con Ritmo,184,10,[],47
93,60Adui8Ta0HZRcgukpoab6,Papi Shampu,0,1,[],0
94,77nQbex7VQEOvGDhubRrIV,The Beginning,0,13,[],0
95,0BVeJuYSbScL5Lq7ToS7J9,Dale Tu Amor (feat. El Polaco),184,1,[],23
96,6KL1vHSZ0XfmL2NJF5iFE1,Me Reclama,184,1,[],62
97,4XhxlkhkuQFRIOJCVN2Mpi,Sin mirar Atrás,171,13,[],50
98,0yLhNN1wvArT1xOU9Y8s4S,Todo Comenzó Bailando,184,12,[],65
99,62WNAAbZm5QQ3mun5mwEoi,VOL. 1,0,22,[],0
100,2kZkiVn1m00XcgaWlLb2LD,SEX AND LOVE (Deluxe),2,16,[],68
101,7tPQLOpoHALuSuHcDFUgB8,Louder!.,184,12,[],49
102,303q7Gwd1npoNdMFtoAe9s,Los Que Gustan,184,21,[],62
103,23pG20MPKmclVJu2SDx9fY,Por Fin Te Encontré,0,1,[],0
104,3WuwesFp1zHaIQa98Y3Fcn,Corazón Valiente,0,12,[],57
105,6cWj9XVKzrrayy7c6n5KiI,20 Grandes Exitos,0,20,[],52
106,5lQLNkR6i87BZeiKq7Yg8Y,Encantadora (feat. Farruko & Zion & Lennox) [Remix],184,1,[],48
107,1qUACQZ4lb0VyVZ48LZ3GM,Si Te Dejas Llevar (feat. Juanka),0,1,[],0
108,2lVKzhuuSFd1JVJe9U1gbV,Sola Otra Vez,184,1,[],29
