,track_id,album_id,artists_id
35,0mwPE0lPOgnWf2bo14xedJ,3nZrIskMQdaS5KWw45PIjd,['0UWZUmn7sybxMCqrw9tGa7']
36,7AtlMCIauSQZqiXSlbBPW6,2LYwooMTH1iJeBvWyXXWUf,['1vyhD5VmyZ7KMfW5gqLgo5']
37,04DwTuZ2VBdJCCC5TROn7L,75kX486cBBkuaLkZGjBptl,"['60d24wfXkVzDSfLS6hyCjZ', '64M6ah0SkkRsnPGtGiRAbb']"
38,0BFgCEE7ozbyB1PpLpLyhM,0VouajoL0QOEBUGYaPThOU,['7d1kmnhwauydKmuAvjgQrH']
39,17Fd6Yb7mSbinKG8LoWfFl,3teu4biw5zhcN7QgjmKzGS,"['2KsP6tYLJlTBvSUxnwlVWa', '5iNrZmtVMtYev5M9yoWpEq']"
40,2SSYqDX8KTgy01NlqtUo0F,6Tap30zqzXj22sVKoy1GUj,"['0vR2qb8m9WHeZ5ByCbimq2', '1SupJlEpv7RS2tPNRaHViT']"
41,4vlbjBSMqycZk6t4HVRpnC,2WzuUq2PAROPZrsI0QFh29,"['1i8SpTcr7yvPOmcqrbnVXY', '4VMYDCV2IEDYJArk749S6m']"
42,3BY2mafsbsoKGqS380Xnuz,4YV0amQ85n4nCeSYyqW6Rz,"['33ScadVnbm2X8kkUqOkC6Z', '21451j1KhjAiaYKflxBjr1']"
43,09S64DUkxIX9EwIaULu6yN,1F4fjB7jFQKKvQzXVvU4f4,"['1r4hJ1h58CWwUQe3MxPuau', '1l8Fu6IkuTP0U5QetQJ5Xt']"
44,4tPL9PeVZY4c0jUPtSD5nx,5Y0jPLZZEf179dwwq4iEmN,['3ATyg4fGC9F8trfb0GRWmX']
45,14WWzenpaEgQZlqPq2nk4v,2JNVoEx4psIgNQyEExwQVn,"['5pKCCKE2ajJHZ9KAiaK11H', '3TVXtAsR1Inumwj472S9r4']"
46,0gzcET27nREY6aD8LJU9wD,0yLhNN1wvArT1xOU9Y8s4S,"['4GepMkTgrIZECoCC55vqjW', '5KQX0Ui06LVm6PApyicRFK']"
47,0QsvXIfqM0zZoerQfsI9lm,3ShQFl9FladFKlonwPGZFc,"['69GGBxA162lTqCwzJG5jLp', '6Dd3NScHWwnW6obMFbl1BH']"
48,5Fim1gaXBgsiFfsQAfQSDS,2dBgWXp41imu2zBNv9oFxZ,['1SupJlEpv7RS2tPNRaHViT']
49,300xUYXWhFA6Q1sbNvVItP,45J24eNEQUEY3GNo44xgkw,['27Yc5RzJf27tJfqezJnHY1']
50,2aFiaMXmWsM3Vj72F9ksBl,7K89F9bgY1jks0uIlMerm3,['6T5tfhQCknKG4UnH90qGnz']
51,1lxswgIpzV6HhENRvkflES,1zFp5Q3Dgo8wmKsmfZ23QX,"['329e4yvIujISKGKz1BZZbO', '1XTGADISSMRf8B4TcVGYUC']"
52,2xjcDF21U2ccgE2LEeiMbf,0yLhNN1wvArT1xOU9Y8s4S,['4GepMkTgrIZECoCC55vqjW']
53,2twUPIYOTqVivev47pf7bU,4UuOdCwVCeCJ15QMLDxugX,['1i8SpTcr7yvPOmcqrbnVXY']
54,7BKLCZ1jbUBVqRi2FVlTVw,0rSLgV8p5FzfnqlEk4GzxE,"['69GGBxA162lTqCwzJG5jLp', '26VFTg2z8YR0cCuwLzESi2']"
