title,date_formatted,url
Chantaje (feat. Maluma),2017-01-01,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
Vente Pa' Ca (feat. Maluma),2017-01-01,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
Reggaetón Lento (Bailemos),2017-01-01,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
Safari,2017-01-01,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
Shaky Shaky,2017-01-01,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
Traicionera,2017-01-01,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
Cuando Se Pone a Bailar,2017-01-01,https://open.spotify.com/track/1MpKZi1zTXpERKwxmOu1PH
Otra vez (feat. J Balvin),2017-01-01,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
La Bicicleta,2017-01-01,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
Dile Que Tu Me Quieres,2017-01-01,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o
Andas En Mi Cabeza,2017-01-01,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
Desde Esa Noche (feat. Maluma),2017-01-01,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
Borro Cassette,2017-01-01,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
Gyal You A Party Animal - Remix,2017-01-01,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I
Me llamas (feat. Maluma) - Remix,2017-01-01,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
La Bicicleta (feat. Maluma) - Remix,2017-01-01,https://open.spotify.com/track/7IRuf7FrdQvOGs0g9mSNGr
DUELE EL CORAZON (feat. Wisin),2017-01-01,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
Let Me Love You,2017-01-01,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
La Noche No Es para Dormir,2017-01-01,https://open.spotify.com/track/3gEebOzxHpEwElicl1XBy0
Vacaciones,2017-01-01,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
Rockabye (feat. Sean Paul & Anne-Marie),2017-01-01,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
Carnavalintro,2017-01-01,https://open.spotify.com/track/0tGAPnTFwRJA6FZgYZ0BAe
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",2017-01-01,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
One Dance,2017-01-01,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
My Way,2017-01-01,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
Cold Water (feat. Justin Bieber & MØ),2017-01-01,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
La Gozadera (feat. Marc Anthony),2017-01-01,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9
Llamame Mas Temprano,2017-01-01,https://open.spotify.com/track/5aHJug2wnupoGfgfxRudsk
Starboy,2017-01-01,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
Manicomio,2017-01-01,https://open.spotify.com/track/3n58u3LOFw8mITLvfPvQBz
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",2017-01-01,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR
Don't Wanna Know,2017-01-01,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
Sin Contrato (feat. Don Omar & Wisin) - Remix,2017-01-01,https://open.spotify.com/track/2xNZeeqmwMPVKnD7FSQfgt
24K Magic,2017-01-01,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",2017-01-01,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
Fuego,2017-01-01,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ
