,id,name,popularity,explicit,available_markets
0,6EOKwHETwSkZ9gW2b6ASE0,Ransom,4,0,0
1,0a1LpYLrp1VNwEekoqFJx5,Io e lei,1,0,185
2,1esVK0wgkpFJ31eHvHZ7M9,VOICE,42,1,185
3,1RgSs1Jy3QHiacsnMxAAL2,Siren Song,41,1,184
4,7zFBtYAVURF3bUVqEQ6UUu,ICY,0,1,0
5,44ZRUhwJopErgSsvJ8iH7I,Violeta,46,1,185
6,5lcL51XmmTrQy09H85wIJZ,Leña para el Carbón,0,1,0
7,3dLiBBKbeUIhzGNeuo5JGS,Sin Culpa (feat. DrefQuila),0,1,0
8,6sAwJPgaSQ9Q4XGnbx1gZb,Mala Mía - Remix,49,1,184
9,3gu0fRSgFuc4FmrtIv0DnC,Callao,45,1,184
10,3T5QSIgoaPIh07SwixRDp7,A Solas - Remix,0,1,0
11,68NhevkESo24f9nTL8fDFP,Dímelo,53,1,184
12,3M2cSpHsIk0xUvTsWbkM1q,Árabe - Remix,0,1,0
13,0Ldh6OMRNPUAkDazVwnKWP,Adicto A Ti,55,1,184
14,5Rb1YFwlxt1AgMaqbOpZzf,Te Vas a Arrepentir,0,1,0
15,0cAPaxRoHX5DPpdV8MQcS8,Cuando me Enamoro,0,1,0
16,7kuRvjpeUcn6qNV9IBXC2C,Ta To Gucci (Remix),57,0,185
17,2ZixSR7OKIpdPUk4dwOekn,Hitazos: Amores Como el Nuestro / Que Fue / Algún día / Tu Amor Me Quema / Arrepiéntete / Tarjetita de Invitación / Empujaito / Si Tu Te Vas / El Aguacero / Tu Juguete / Mujer Que Mal Me Pagas...,56,1,184
18,76BnEV7y0FIyDodcCt9sxC,Iluminará,57,1,184
19,2cTKuxpHcPzDFRbbhE2WxP,La Cabaña,4,1,0
20,1IlbkW24QMlXRs5GF15FMM,El Baile de las Egresadas,39,1,185
21,0mAkTqg7vQ8YmpQ7o1I6gR,LeBron,0,0,0
22,6KzeUBu1BE8q24CblG6oku,Tramposa Y Mentirosa,56,1,184
23,4VhLKoBrfuxHbBOi5Xi26D,Pla Cacha Pla - Remix,0,1,0
24,6NipZljiEekGRNF6vddEP3,Paisaje,55,1,185
25,6JtV50W4szsOD04QREQgXk,Soltero Hasta la Tumba,51,1,184
26,0XKe4lkaD7kGhMwYXlg1Pn,DJ ALEX - Asesina [Fiestero Remix],0,1,0
27,03G43mO3a34IGIsyDd4sj5,La Pollera Amarilla,47,1,184
28,0Ir7G0Xba6PIDUBKObagNA,Enamorado de Ti,0,1,0
29,2KTrV1P4FIooFm8wFRcUBQ,Sentado en la Esquina,49,1,184
30,4bSCJTXKPSb63oyOteNLSR,Condenado Para El Millón,52,1,184
31,3GUMMzUB7Kk0BSqxEDyieS,Se Te Ve la Tanga,53,1,184
32,0todbbT9g5uQGbeFCiBf2F,imagine,0,0,0
33,7pdF27mSDuPWhppnHAmWHa,whoa (mind in awe),68,1,184
34,1NJcg626wLln4pGHpiV7mf,lovely,43,1,2
35,2FUNBaa5DwItJtYEBgAblU,monster,59,0,184
36,4NBTZtAt1F13VvlSKe6KTl,This Feeling,70,1,184
37,3gicyfiEVMGONgzygpWjNT,Grip,50,1,184
38,1KVczjazCcCCgM3gXXUl47,Roses (with Juice WRLD feat. Brendon Urie),65,0,179
39,3Ol2xnObFdKV9pmRD2t9x8,Look Back at It,72,0,184
40,0jAfdqv18goRTUxm3ilRjb,Startender (feat. Offset and Tyga),60,0,184
41,1V1NpX9DlBb9koXof9nIBF,Good Years,0,1,0
42,4Uy3kNxW2kB8AEoXljEcth,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",57,1,184
43,0kLA41xkWzzYzMIEGFuDkP,HaifischNikez Allstars,58,0,184
