title,date_formatted,url
Toda (Remix),2019-01-01,https://open.spotify.com/track/0QFTjMGHWo7joBA5CUlIpd
Cuando Perriabas,2019-01-01,https://open.spotify.com/track/5mj8WVFcKdGA8p9HWGTSLc
Ráptame,2019-01-01,https://open.spotify.com/track/0I6syWcqSUsZ3sXJEOIGsj
Te Arrepentirás,2019-01-01,https://open.spotify.com/track/3dNA2MGyfZU4rdUVwoWI3V
Solteiro Não Trai - Ao Vivo,2019-01-01,https://open.spotify.com/track/7oEr56KG6odStlQH0nvdyr
Zona de Risco (feat. Maiara & Maraisa) - Ao Vivo,2019-01-01,https://open.spotify.com/track/7qQV8fo97AFhrL9HPUeAsk
Clichê (Participação especial de Felipe Araújo),2019-01-01,https://open.spotify.com/track/5Yzb3sVRYO4kqHhy0iVs1K
Passa Mal - Ao Vivo,2019-01-01,https://open.spotify.com/track/2oezDpHysEKUuXSAuanT4M
Não Atende Não,2019-01-01,https://open.spotify.com/track/7E5cJjrgYLHo13pI0hpmWw
Eu não vou embora,2019-01-01,https://open.spotify.com/track/3QtOsthM0N3gRfD3dkqbl4
Regras - Ao Vivo,2019-01-01,https://open.spotify.com/track/67B2zQQTGWplLAnOHMigke
Cheia de Manias,2019-01-01,https://open.spotify.com/track/4i9uK1cMwP1Pc5zHhtMEde
Santo Forte (Ao Vivo) (feat. Luan Santana),2019-01-01,https://open.spotify.com/track/08qhlblL5nfKeBDTQrzi8E
A Morte do Autotune,2019-01-01,https://open.spotify.com/track/4MF0VMffyxHsy3GZwwUnAs
Então Vem Cá - Ao Vivo,2019-01-01,https://open.spotify.com/track/7oe0Ix6qnvqZhK0zDzOPie
Fingindo Maturidade - Ao Vivo,2019-01-01,https://open.spotify.com/track/39aWBx86ZdvXQ9d0fRAXxH
10 Anos - Ao Vivo,2019-01-01,https://open.spotify.com/track/5ohqhIfOYly0ijyCos7Q6x
Meio Seu,2019-01-01,https://open.spotify.com/track/1uvU55DdRfLleIxWF8dWxA
Chorar pra Quê,2019-01-01,https://open.spotify.com/track/5NOO7qygc1MqwVqP5sR92a
all my friends,2019-01-01,https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l
Splashin,2019-01-01,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
Demons and Angels (feat. Juice WRLD),2019-01-01,https://open.spotify.com/track/3L19besdNQzd342qL78xqm
Project Dreams,2019-01-01,https://open.spotify.com/track/0PowxVSTY2uh1CPc8EPKyX
La ziguezon,2019-01-01,https://open.spotify.com/track/2Vmf6V7IQAVZlUcjE2FbDc
TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,2019-01-01,https://open.spotify.com/track/51w9Jbat1pLeWINGCpnQUR
can't leave without it,2019-01-01,https://open.spotify.com/track/0hPLZrnDgtKxrym1BHjDhd
MoshPit (feat. Juice WRLD),2019-01-01,https://open.spotify.com/track/4KX8vXbouybtUptEyYxtIk
Come and Get Your Love - Single Version,2019-01-01,https://open.spotify.com/track/7GVUmCP00eSsqc4tzj1sDD
Hide (feat. Seezyn),2019-01-01,https://open.spotify.com/track/6rz0dTA0PdhXImFV5EjM0w
Exhibicionista,2019-01-01,https://open.spotify.com/track/7zrl664JsRglDmTlbCovAg
Boquita De Caramelo - Edit / 2005 Digital Remaster,2019-01-01,https://open.spotify.com/track/5gIqMEGT1Ov7q47H5MDF7n
Las Seis,2019-01-01,https://open.spotify.com/track/56Q1u9KJUMcun4UWv0b7ik
Que Nadie Se Entere,2019-01-01,https://open.spotify.com/track/3RD8Re3FRVvbgvyFrKy7Lf
Picara,2019-01-01,https://open.spotify.com/track/0BI7u6p921rYiD2EUyTJJG
Si me dices adiós,2019-01-01,https://open.spotify.com/track/5dAW8H1CaqnrMYlF2PH12D
Guallando,2019-01-01,https://open.spotify.com/track/4jRxEVNituPZObHbCSBZL3
Impostora,2019-01-01,https://open.spotify.com/track/3IUDbYtEWMnZpfYcXVMSq9
El Galeón Español / Un Año Más / El Caminante / La Mafafa / La Arañita / Negrito Cumba,2019-01-01,https://open.spotify.com/track/33zodIEX179pb8bd3n7qEf
Prisionero de la Soledad,2019-01-01,https://open.spotify.com/track/0GFye1VF0KBbdQRlXj2eLF
Las Avispas,2019-01-01,https://open.spotify.com/track/1oInQX1RuH1TcHuDv8Gvw3
200 Mph,2019-01-01,https://open.spotify.com/track/5jGUJXnELDaDTgiRjD9lsg
Dame Algo,2019-01-01,https://open.spotify.com/track/4ByaTrfoYbXrmlbsTG8MTD
Tomando Alcohol,2019-01-01,https://open.spotify.com/track/0MYP3aoAnQboUrNQ12dcFR
El Galón Español,2019-01-01,https://open.spotify.com/track/2dNMjTRV74BLv5L2pSrvnk
Grande Sonoras Nº 1 (Megamix),2019-01-01,https://open.spotify.com/track/4QchNoAz1J0D89LrqCViHC
Las Cuatro Fiestas,2019-01-01,https://open.spotify.com/track/6saaz6xf1KVaSWT4Geb5L6
El Santo Cachón,2019-01-01,https://open.spotify.com/track/2PNHvKqgYLxoyBikhsI5DT
El Jornalero (El Hijo de Tuta),2019-01-01,https://open.spotify.com/track/1Pt5gpTOzEjNGRayDuN7YM
Tu Eres Ajena,2019-01-01,https://open.spotify.com/track/2dOfmq8erjrVcQoAw4aJcy
Vagabundo Soy,2019-01-01,https://open.spotify.com/track/3znibvdFC0WCx8E8HRY01k
Loquito por Ti,2019-01-01,https://open.spotify.com/track/5pLDHytVHRM7eXnOy6zHM7
Así Te Quiero Yo,2019-01-01,https://open.spotify.com/track/5rqWK6YYPLTv86c0ESqUDJ
El aguardientaski,2019-01-01,https://open.spotify.com/track/0Abwuo1EacEyqbh1G2av9s
Buscándote,2019-01-01,https://open.spotify.com/track/1HN4iRuugxV4etdXgEY9Q1
Ron Pa' Todo el Mundo (feat. Diomedes Díaz),2019-01-01,https://open.spotify.com/track/6jQeAqkvJfT27Mk87kPlVk
La Colegiala,2019-01-01,https://open.spotify.com/track/1WIqYDfCSrtbaCogAHh1gu
Golpe Con Golpe,2019-01-01,https://open.spotify.com/track/5ZehDzlFO5gIQ9KalKsSHc
"Very, Very Well",2019-01-01,https://open.spotify.com/track/3qy9oyZmHHZV5w7BTbWzXA
Aires De Navidad,2019-01-01,https://open.spotify.com/track/2SeBorv5Nu0kumNpN4huUx
