,id,name,popularity,explicit,available_markets
82,209gZgcfLq2aUuu51vOWBl,Hey DJ,0,1,0
83,22eADXu8DfOAUEDw4vU8qy,Ahora Dice,0,1,0
84,31M5m42C3EGlbydf9XB5to,Duro y Suave,57,1,184
85,5EId1m4DNwTf3at31w8bPJ,El Farsante,71,1,184
86,2BIxGGD8Rs7OmJqkzmfxG2,Muevelo Mami,42,1,184
87,2kMKJv055nJbDHAsVITKMD,Motta - Remix,0,0,0
88,3y5ahYM9zwyOCt3mieZ0PZ,Oncemil,58,1,184
89,54OB85nuxYGfl7qRQXuz7c,Ahora,0,1,0
90,5QTWB74jDroxV6DvMqV533,Que Rico Baila,47,1,184
91,4yN6xPLopmTLvc27pO9LIE,Si Tú La Ves (feat. Wisin),62,1,183
92,4XCQtUoRSh22Ep18ULmDnT,La fórmula (feat. Chris Jedi),49,1,183
93,4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),0,1,0
94,1nvomogWZSfnw3H4Uti0eL,Intento,0,1,0
95,4XP6qLtHI0n9UjIPTsuqe8,Mi Mala,0,1,0
96,7Ckhk1XW5NV2k4jpqtQNlz,Besame,42,1,164
97,0ZAJ660VP57lLK4U7NlGOy,Nunca quise,64,1,184
98,7MMRoGvm7uhoUVhGvHJ3yW,Una Lady Como Tú (feat. Nicky Jam) - Remix,49,1,184
99,5BHiSQqlKWKoSmASzJTrVg,Me Tiene Mal,0,1,0
100,2U7Hu2RaNQNRi7izoJyZaX,rockstar,0,0,0
101,3iDPALl8BoUbuXZgy6EOWY,Sexto Sentido (feat. Bad Bunny),0,0,0
102,400nZFg9JEXd9DTBJf1PE3,Bonita - Remix,0,1,0
103,7IwNPHjpZMkggv0qlh1rUO,Como Tú,0,1,0
104,1LJZUPoyDiYLO4DQS6pWS0,Te Quiero Más,0,1,0
105,08bNPGLD8AhKpnnERrAc6G,FRIENDS,75,0,184
106,1s46xFwjfRUkRlPlX3PwPk,Háblame Bajito,53,1,184
107,7EmGUiUaOSGDnUUQUDrOXC,Wolves,0,1,0
108,4okba5wu9mMLXx79DXLKi3,La Rompe Corazones,0,1,0
109,7JIjlqksUcoVWOM3XdINe6,Ready for the Night,0,0,0
110,335SGs7Q58sUqkbgqF5Z3J,Dime Cosas Lindas,41,1,184
111,1fs9kTASuC9RJ9say6KX2K,Ahora Dice - Real Hasta La Muerte Remix,0,0,0
112,2i0FJ19sVfhcv5Npr2dEZv,A Fuego - Remix,0,0,0
113,7GncL3nyKUjsEm8Z5gvTpW,Trap (feat. Maluma),52,1,184
114,1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),69,1,184
115,05ZXXyeZFhZtA6DAP3Aw7x,Loca (feat. Cali y El Dandee),56,1,184
116,5zSOVwaY3sVjnmLhuEfsuf,Tú Foto,68,1,184
117,6yuArSnBrhykjkCxb8eXvl,No Te Vas,0,1,0
118,5gFAT2DbEt4TOMXyAMEixG,Netflixxx,30,0,0
119,4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,70,1,184
120,7q7XFO9av9VpNJSXKJwJxD,Personalmente,61,1,184
121,3hBBKuWJfxlIlnd9QFoC8k,What Lovers Do (feat. SZA),0,1,0
122,3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,71,1,184
123,2ZwFbSPQDdVIucGNQZbrE5,Fantasía,0,0,0
124,7FfpP3YZ6fOWMdxkIAtud9,Krippy Kush,62,0,184
125,7uKe068f3goRFEhH6MCbun,Mil Horas,0,1,0
126,13X0XdLMOdtbXVtAj2ox4h,Besándote,50,1,184
127,3umS4y3uQDkqekNjVpiRUs,El Amante,66,1,183
128,2vi23luhEYDrtUnNHAqF6q,Te Robo,0,1,0
129,1d0c62VFYauOOgxZ2eFUxx,Besos En Guerra,0,1,0
130,6SIrNxmmdbv1KUbFBu1PaN,Bebe (feat. Anuel AA),0,1,0
131,7upAH0ezzsThyvr33YKn4u,Pasos Al Costado,63,1,184
132,4iKuG50iHNBaybQOo11yrN,Solo a solas (feat. Maluma),0,1,0
133,3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),82,0,179
134,0alSPoUfrGb0RdVVG4Lf3n,Ahora Me Llama,68,0,184
135,26gceVsA1ybT8qsX3aYLEn,Thunder,0,1,0
136,18Lf9mbzkZnQDjksUhpIqY,La Dama,0,1,0
137,2qHiGVZkLDpQr5MsBWspSD,Te Robo Remix,0,1,0
138,65NwOZqoXny4JxqAPlfxRF,Psycho (feat. Ty Dolla $ign),0,0,0
139,6L74kj2KFdwfdLXTqyNvDN,Wanda Nara,0,0,0
140,2ARqIya5NAuvFVHSN3bL0m,The Middle,0,1,0
141,0EayXisPHaulRoFgazbi0A,Bella Ciao,0,1,0
142,0JOUrhZGMCx3lk9VosAQWl,El Desorden,58,1,184
143,5ZEQjTroORCu6uWvZrdeNc,My Life Is Going On - Música Original De La Serie De TV La Casa De Papel / Money Heist,58,1,161
144,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,81,1,184
145,4ObkiTmpsSU31gqGhTb8SH,Balada Del Diablo y La Muerte,59,1,183
146,1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,79,1,182
147,1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn (feat. Sia) - Radio Edit,73,1,184
148,5hM6sP0Gh1jD57drszNueC,For You (Fifty Shades Freed) (& Rita Ora),0,1,0
149,66pK7thQ0yw1xlqw8AQSlw,Tacos Altos,56,0,184
150,0DFxA6i4yu8AORcdPrDEmd,Cámara Lenta,0,1,0
151,3lRdAB8pde348eiSc25Aq9,Relax,0,1,0
152,5IkOnAKGDJT5M8KpFIHzsd,Antes De Ti,63,1,184
153,6x2js4gDZlpkNBbsAxolBs,Como yo te quiero (feat. Alexis & Fido),40,1,184
154,0uuEqOyKlABOB7hzWKcEeG,A las Nueve,0,1,0
155,39KmBOGkD1ztCbVeo2uspA,Una Nueva Noche Fría,60,0,184
156,2uWg6P3lEsS1qQ2qg11TUx,Devuélveme El Corazón,0,1,0
157,782JmkLy6uVD8MW0EJrih9,Quiéreme (feat. Abraham Mateo & Lary Over) - Remix,52,1,184
158,5HMLzZJYj3gRo2ulIBSC5d,Algo Tiene,0,1,0
159,4X3CV9rXo3hQrkb0fzRAux,Egoísta,55,1,184
160,1WbXIpiGBJkCiv3hn40iPB,Sobredosis (feat. Ozuna),72,1,184
161,5UEnHoDYpsxlfzWLZIc7LD,River (feat. Ed Sheeran),0,0,0
162,2E2dLZK0gSTl6vjr53BfKM,A Veces Vuelvo,56,1,183
163,6ihwy1c6tsMC6AWANIrhH2,Sin Principio Ni Final,59,1,184
164,4cK9Q0g8LpOYaVyEjTCWGD,Destroy,0,1,0
165,780CrNUSw5RrRWHSOf9sAA,Ahora mirame,0,1,0
166,0FmwxdXff5b4vlFxqCQY1H,Loca - Axel Caram Remix,21,0,185
167,75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,78,0,184
168,45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),71,1,184
169,4ofvoCdXq99vpMZO4Cfp8x,Pray For Me (with Kendrick Lamar),13,0,0
170,5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",69,1,184
171,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),71,1,178
172,2UVbBKQOdFAekPTRsnkzcf,Stir Fry,73,0,183
173,6mrKP2jyIQmM0rw6fQryjr,Let You Down,0,1,0
174,6PKxFkewPt55P5ao5tVS5o,Go Bang,0,1,0
175,2xmrfQpmS2iJExTlklLoAL,I Miss You (feat. Julia Michaels),0,1,0
176,2xGjteMU3E1tkEPVFBO08U,This Is Me,63,1,183
177,6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,74,1,184
178,5k38wzpLb15YgncyWdTZE4,Him & I (with Halsey),75,0,184
179,4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake),48,0,0
180,5AEtlRudpgdT5FtNiuly6Y,"Let Me Go (with Alesso, Florida Georgia Line & watt)",0,1,0
181,7vGuf3Y35N4wmASOKLUVVU,Silence,78,1,184
182,1LhMopPAallLeaeNutqbgS,Say Something (feat. Chris Stapleton),67,1,184
183,42CeaId2XNlxugDvyqHfDf,Candy Paint,14,0,0
184,5J7zqPpQkN9JZiaELHNKSL,We're Going Home,53,1,182
185,4QfNOZN7vrQCQKK1ZJ3XPb,Heaven,0,1,0
186,1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,1,1,0
187,3towKHKVOXCCcL1fHv6xFO,Capital Letters,0,1,0
188,45w70aQhNwke1yrQZO0ffm,Do Right,19,1,0
189,1LIbTjMdFP15jIXGkcICSU,Chateau,55,1,2
190,0tPQPaOKM32WgMSbPCYyRH,Dirty Sexy Money (feat. Charli XCX & French Montana),54,0,184
191,1jJtDLctkzilPae8saJe37,NUMB,0,0,0
192,630sXRhIcfwr2e4RdNtjKN,Rewrite The Stars,71,1,183
193,1HrMWH5GUdK6Yi94rbANJA,Cola,67,1,182
194,2rE9TX3VQ0WNt7kziFhKep,Homemade Dynamite - REMIX,0,0,0
195,2Tq2R8sRftNEqdgJK5HadO,My My My!,0,1,0
196,5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,77,1,184
197,7EI6Iki24tBHAMxtb4xQN2,Anywhere,60,1,158
198,2Za1AlJNvksouPPWbXpR2X,Good Old Days (feat. Kesha),67,1,184
199,2IKZkwHI5zsZf70STuhvOX,Sick Boy,0,1,0
200,2Pvr8rYuh5J8V7QglJhH6W,Want You Back,0,0,0
201,51rXHuKN8Loc4sUlKPODgH,"King's Dead (with Kendrick Lamar, Future & James Blake)",67,0,179
202,0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,70,1,184
203,0as7lPxkBPctZ7uVmchRNM,Miss You (with Major Lazer & Tory Lanez),0,1,0
204,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,81,0,184
205,5uu28fUesZMl89lf9CLrgN,Feels Great (feat. Fetty Wap & CVBZ),52,0,2
206,7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,79,0,170
207,6S5lBW22Re1UPKXjX7obLC,Wasted,48,1,184
208,1USJRpWDFhxwhCajPXBeel,You Owe Me,0,1,0
209,77ngtwBosDuAwiQu8afOOQ,Anyway,0,0,0
210,7DPQwyMQADl9Y8oSvSVpfg,Let Me Down Easy,56,0,182
211,2DQ1ITjI0YoLFzuADN1ZBW,No Limit,67,0,184
212,5xNzA3m8Io8rTyLHidsKDc,Coming Home,0,1,0
213,7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,80,0,184
214,5tz69p7tJuGPeMGwNTxYuV,1-800-273-8255,74,0,179
215,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),80,0,172
216,7oekneJCJO74ycdLzdk16v,Lay It on Me,56,1,182
217,5jyyPsIGM2yqkZN9R3TmvN,The Ways (with Swae Lee),59,0,179
218,2x0WlnmfG39ZuDmstl9xfX,End Game,71,1,184
219,2OALaHcDdKkjYEpAr0Qzab,Lonely Together (feat. Rita Ora),53,1,24
220,75FDPwaULRdYDn4StFN2rT,Bartier Cardi (feat. 21 Savage),47,0,178
221,32DGGj6KlNuBr6WaqRxpxi,How Long,0,1,0
222,5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),70,0,184
223,4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),62,0,179
224,0CokSRCu5hZgPxcZBaEzVE,Glorious (feat. Skylar Grey),72,0,184
225,3B54sVLJ402zGa6Xm4YGNe,Unforgettable,79,0,172
226,43ay9lQZ5rfNcOOHhRF2cM,The Greatest Show,56,1,183
227,6EpRaXYhGOB3fj4V2uDkMJ,Strip That Down,0,1,0
228,4dVpf9jZjcORqGTLUaeYj9,Plain Jane,71,0,184
229,2z4pcBLQXF2BXKFvd0BuB6,Tip Toe (feat. French Montana),60,1,184
230,6NWl2m8asvH83xjuXVNsuG,Betrayed,52,0,172
231,2RttW7RAu5nOAfq6YFvApB,Happier,77,1,184
232,152lZdxL1OR0ZMW6KquMif,Location,75,1,184
233,0afhq8XCExXpqazXczTSve,Galway Girl,76,1,184
234,3m660poUr1chesgkkjQM7P,Sorry Not Sorry,0,0,0
235,6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,76,1,184
236,2fQrGHiQOvpL9UgPvtYy6G,Bank Account,8,0,0
237,6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,80,0,184
238,0RoA7ObU6phWpqhlC9zH4Z,A Million Dreams,71,1,184
239,2771LMNxwf62FTAdpJMQfM,Bodak Yellow,55,0,169
240,5cXg9IQS34FzLVdHhp7hu7,Big Shot (with Travis Scott),62,0,179
241,4wFjTWCunQFKtukqrNijEt,MotorSport,68,0,183
242,34I0nBvoE0ZXmqbKiJ5BWS,Stranger Things,58,0,184
243,2cKovq3l6OJjhVVDbVKOsr,The Other Side,69,1,184
244,0Zbbxnx4SGGHoIow4PpISP,Stargazing,63,1,184
245,4c2W3VKsOFoIg2SFaO6DY5,Your Song,61,1,158
246,0Gl5s8IhMmQE5YQwM8Qx1J,Never Enough,72,1,184
247,4GtxDqRqnAmHtmyPhSmXY4,Woke Up Late,0,1,0
248,2mfUa8bLs2s5N4VaqJZ4lZ,Most Girls,0,1,0
249,0NiXXAI876aGImAd6rTj8w,Mama,48,1,184
250,5mCPDVBb16L4XQwDdbRUpz,Passionfruit,80,0,184
251,4VuS959DSpr82t3qBqCrWG,Supermarket Flowers,72,1,184
252,1yxgsra98r3qAtxqiGZPiX,BUTTERFLY EFFECT,0,1,0
253,7vu0JkJh0ldukEYbTVcqd0,Issues,72,1,184
254,248OFOZef6ShXv6DGgbnxU,Saved,65,1,184
255,0OlnLZY4cmQzT6ZGttvWBM,So Far Away (feat. Jamie Scott & Romy Dya),64,1,184
256,3ncgNpxLoBQ65ABk4djDyd,PICK IT UP (feat. A$AP Rocky),61,0,170
257,2BNkTvg1kHAAfGvqh56x5a,Getting Over You,0,1,0
258,79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,0,1,0
259,2BTw5ZxeBygVJpdMK1Ur3c,Hotel,42,1,2
260,671XiwQW20Hw5DudB13tR9,Church,0,1,0
261,2u7mxWSeoqTXndK5e08jMp,Nowadays (feat. Landon Cube),64,0,184
262,5HwnezK198pJCEj1l2Adjy,She Loves Control,57,1,184
263,43ZyHQITOjhciSUUNPVRHc,Gucci Gang,61,0,184
264,7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,68,1,184
265,1x5sYLZiu9r5E43kMlt9f8,Symphony (feat. Zara Larsson),71,1,184
266,5CtI0qwDJkDQGwXD1H1cLb,Despacito - Remix,0,1,0
267,0Qh38w01QRXK6KHIv0e3hb,What About Us,72,1,172
268,5xNUR50KxswPRAvx7S163g,Come Alive,65,1,184
269,51ChrwmUPDJvedPQnIU8Ls,Dive,71,1,184
270,6SlJooJullmwjBsrnRNROA,Moments (feat. Gavin James),0,0,0
271,0wbnC9AUenxp613TYaJsGK,Narcos,68,0,183
272,2RiBogNRfulkNf7fVbPOrJ,Saturday Sun,67,1,182
273,1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,65,0,169
274,3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,81,0,184
