title,date_formatted,url
Stay Gold,2021-07-01,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
Close Eyes,2021-10-12,https://open.spotify.com/track/3CLSHJv5aUROAN2vfOyCOh
París,2021-09-10,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
Duvet,2021-09-10,https://open.spotify.com/track/7urtwZEtOypb3r8HNi42dT
Poblado - Remix,2021-10-15,https://open.spotify.com/track/2K1CQMoG2Dy5nmeOYnhoi8
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",2021-10-15,https://open.spotify.com/track/7COGuXyTr12KvdaYXMqheC
Wow Wow (feat. Becky G),2021-10-15,https://open.spotify.com/track/4Yip3hds5IHyT7AqoNHfmX
40 NOCHES,2021-10-15,https://open.spotify.com/track/64tFEyCfMQjRsp7AcWwSxg
Me Fije,2021-10-15,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
Mares De Miel,2021-10-15,https://open.spotify.com/track/1tJrLUcqjzQVZLFCV8lym0
YaMeFui,2021-10-15,https://open.spotify.com/track/42ahuAFlYGjIGBpVdHcLij
LA NOCHE DE ANOCHE,2021-10-15,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
Mon amour,2021-10-15,https://open.spotify.com/track/064ikblBFGS6HL35D71LZy
Ten Cuidado - Pokémon 25 Version,2021-10-15,https://open.spotify.com/track/7F7WgxCXMIjjMS32HX94sb
Tranquilísimo,2021-10-15,https://open.spotify.com/track/3znlxKwQTRVrrerCcZPus2
"Eladio Carrion: Bzrp Music Sessions, Vol. 40",2021-10-15,https://open.spotify.com/track/1VauUM5CBX7nkLcgafQL2B
Hawái,2021-10-15,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
Cuestión De Suerte,2021-10-15,https://open.spotify.com/track/6TRRirUyyil4IbMcZLFQff
Heat Waves,2021-10-15,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
MONEY,2021-10-15,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
Kiss Me More (feat. SZA),2021-10-15,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
KESI,2021-10-15,https://open.spotify.com/track/42lpuSQmnLUM1ZXJVzIVOi
THATS WHAT I WANT,2021-10-15,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
Tattoo - Remix with Camilo,2021-10-15,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
Demasiadas Mujeres,2021-10-15,https://open.spotify.com/track/3GaGWoU1KfVqgl7vnRHP55
EL MAKINON,2021-10-15,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
Yate,2021-10-15,https://open.spotify.com/track/0q7psxaixBQ8FkqyVpbfky
ONE OF ME (feat. Elton John),2021-09-18,https://open.spotify.com/track/3JR2RztQcOjUQGQSybxDIO
Bálnák,2021-09-18,https://open.spotify.com/track/7whf09ip8uNvMoBgb3o9Yc
"jealousy, jealousy",2021-09-18,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
Love Not War (The Tampa Beat),2021-09-18,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
All We Got (feat. KIDDO),2021-09-18,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
DONT WANT IT,2021-09-18,https://open.spotify.com/track/4vsJWPwWPS27gRM4oLjBNO
Nemszámítapénz,2021-09-18,https://open.spotify.com/track/6m58vxwfWaXtQdoqlRX7bi
Rózsák,2021-09-18,https://open.spotify.com/track/5av4taKkbvMb0OaPtLZB0C
Velem van a baj,2021-09-18,https://open.spotify.com/track/380FH3wg5YhPHmY9oxxnK2
Juanita,2021-09-18,https://open.spotify.com/track/3H2VBJzRFhX5MKIuNlRxVP
BEBÉ,2021-10-15,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
"L-Gante: Bzrp Music Sessions, Vol.38",2021-10-15,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
Cosa Guapa,2021-10-15,https://open.spotify.com/track/5o9NxjgOMpdGDYswuNv7yu
"No, No Vuelve",2021-10-15,https://open.spotify.com/track/4eTgIBf9ktps6iXWS4mvh7
Ella No Es Tuya - Remix,2021-10-15,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,2021-10-15,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
La Boca Junta,2021-10-15,https://open.spotify.com/track/0wA3AZzA0gp0wfSS0SpZt5
Hecha Pa' Mi,2021-10-15,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
