title,date_formatted,url
Ride It,2020-05-01,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
+Linda,2020-05-01,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
Woah,2020-05-01,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
25/8,2020-05-01,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
Keii,2020-05-01,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
Hei rakas,2020-05-01,https://open.spotify.com/track/0tc8HGXosQDC8TTAaON1TP
Tel Me,2020-05-01,https://open.spotify.com/track/4ml7hnH3FtGeUDMhzVmnrj
GOOBA,2020-06-01,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
P2,2020-05-01,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
Losses,2020-05-01,https://open.spotify.com/track/6fLVTVaHWaEfVKfEgbkf4D
War,2020-05-01,https://open.spotify.com/track/1I55Ea0zVoSKs6MqW7DQ3i
Orbit,2020-05-01,https://open.spotify.com/track/6EWz8fvttnPEd3FV0Dtv5w
Raining,2020-05-01,https://open.spotify.com/track/2FUFFJNRIr0XnWWlL3zfYb
Blanco,2020-08-26,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590
Landed,2020-05-01,https://open.spotify.com/track/3KixNgUEaDtrKJVzdqjU5q
Favorito,2020-05-01,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
Yo Perreo Sola,2020-05-01,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
PORFA,2020-05-01,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
Safaera,2020-05-01,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
Tattoo,2020-05-01,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
Tusa,2020-05-01,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
Inolvidable,2020-05-01,https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
Rojo,2020-05-01,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
Por Primera Vez,2020-05-01,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
Hola - Remix,2020-05-01,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
Diosa,2020-05-01,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
Elegí (feat. Dímelo Flow),2020-05-01,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
Dance Monkey,2020-05-01,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
Sigues Con El,2020-05-01,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
Morado,2020-05-01,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
Fantasias,2020-05-01,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
Don't Start Now,2020-05-01,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
