,id,name,popularity,explicit,available_markets
0,2tnVG71enUj33Ic2nFN6kZ,Ride It,76,0,184
1,5cBrOhKDyiJF9bPGUHKkG0,+Linda,62,0,185
2,02RCbjb9czvQKNGBmEmWob,Woah,62,1,179
3,4NqQaovM14WR2hNPMFxgjb,25/8,68,0,184
4,5eEQCfq7MXQr6aHLNRUZLs,Keii,62,0,184
5,0tc8HGXosQDC8TTAaON1TP,Hei rakas,43,0,184
6,4ml7hnH3FtGeUDMhzVmnrj,Tel Me,50,1,185
7,4NhDYoQTYCdWHTvlbGVgwo,GOOBA,2,1,0
8,3kW4z2pIj5VY5fLjBrMRL5,P2,65,1,184
9,6fLVTVaHWaEfVKfEgbkf4D,Losses,53,1,184
10,1I55Ea0zVoSKs6MqW7DQ3i,War,62,1,184
11,6EWz8fvttnPEd3FV0Dtv5w,Orbit,0,0,0
12,2FUFFJNRIr0XnWWlL3zfYb,Raining,45,0,1
13,5pXy29xzxR3aTB0SYRI590,Blanco,56,0,184
14,3KixNgUEaDtrKJVzdqjU5q,Landed,56,1,184
15,0jT8Nl0shPS8115is0wD2Q,Favorito,61,0,184
16,0SqqAgdovOE24BzxIClpjw,Yo Perreo Sola,73,0,184
17,4TOmcZvw0gHa7GiXRbcYAW,PORFA,63,0,184
18,2DEZmgHKAvm41k4J3R2E9Y,Safaera,75,1,184
19,7na7Bk98usp84FaOJFPv3d,Tattoo,63,0,184
20,7k4t7uLgtOxPwTpFmtJNTY,Tusa,74,0,184
21,0OTtnwUO8natNWSwdZvXVF,Inolvidable,68,0,184
22,380HmhwTE2NJgawn1NwkXi,Rojo,66,0,184
23,0pgj4EzB1XRqgZemoMNG5D,Por Primera Vez,62,0,184
24,5stPVcRqb4qixbafP9e8lt,Hola - Remix,70,0,185
25,3JHpk0DOTOzyh0777JFAky,Diosa,69,1,184
26,50ZC4PM7hywH27RcCfViau,Elegí (feat. Dímelo Flow),68,0,184
27,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,60,0,2
28,7sQKy5vlPQllr0k9IjYJv3,Sigues Con El,66,0,184
29,35KmOEIUqAGn02t7n4qaIr,Morado,61,0,184
30,6mAN61JH0dzyZpWslS11jy,Fantasias,71,0,184
31,3PfIrDoz19wz7qK7tYeu62,Don't Start Now,79,0,180
32,4gQG2Ic7hnJMAcqunk4ERT,Ya No Más,61,0,184
33,6NfrH0ANGmgBXyxgV2PeXt,La Difícil,75,1,184
34,24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,76,1,162
35,6zEgnpM0qYmHLDnh8WPejL,Amarillo,64,0,184
36,38RIEav39FGi86jppxO0du,Ignorantes,69,1,184
37,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,88,0,184
38,2ACgvo2Kx4LgWqQ2amvM5C,Flasheaste Amor,60,0,184
39,1Ol5LmdNDNpFu1oNwfgkux,Tutu,63,0,184
40,4GGwM2Krtlx9G9ii1RaEOx,Bellaquita (Remix),54,1,185
41,4VgYtXCVJ7IbWAZ5ryfvEQ,Muévelo,63,0,183
42,3DjInVTE03icrWsq2UZV9n,Recuerdo,36,0,0
43,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),79,0,184
44,4lMOQR1rRW5hJgJXOtKraL,Relación,0,0,0
45,16DNJ8y6k97DxuMyV49W7V,Dónde Estás,63,0,184
46,2tGENA8xef0wABdHvyXwv9,La Cama - Remix,60,0,185
47,7iZSr3NiHlqJGAJmlfd3Ru,Par-Tusa,49,1,183
48,74j34STf8L6uADnTN69ohv,El Efecto - Remix,67,1,184
49,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,79,1,184
50,2w8SKQCnT2YQK1qCqKl2uW,La Pared 360,54,1,184
51,75mVUHbkXidxhYAiUpxDHi,Ya no me llames,51,0,184
52,6EWWkqE4aFlZRyoFwwOT8u,Pa Los Gustos Los Colores,0,1,0
53,0jaTkHUL2LcNP4aWqmAXBA,Fornai,27,1,0
54,56Ta1O7Jxxpjnc6cWdDKUo,Si Me Dices Que Sí,68,0,184
55,4s45VgkknMFkdiGoUcjxQU,TBT,58,0,184
56,39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,72,1,184
57,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,75,0,180
58,32o3czXETZJk82llYMnbq4,Lambo,49,1,184
59,6bLvfGI2XeU5DTl8feuNrk,Cómo estás,69,0,185
60,5eUZFY82pxKuV9uMpoRUa9,Moon,39,0,185
61,4BCPItsB94KDLuERZT3aNM,Fresa,39,0,0
62,4Pu0a2TuHOYtI4CCE3HEXI,Sigues Con El - Remix,61,0,184
63,2ksOAxtIxY8yElEWw8RhgK,China,72,0,184
64,3Dv1eDb0MEgF93GpLXlucZ,Say So,75,1,184
65,5m3jpKkgkfoMcym1qjToFg,Jangueo,0,0,0
66,6C1jKbkCUgFws7M0M4oGCB,Mejor,58,1,185
67,69vlMrzHwATKzupwNcUPyK,La Santa,80,1,184
68,6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),69,1,183
69,41wtwzCZkXwpnakmwJ239F,Si Veo a Tu Mamá,78,0,184
70,4SJHHpKhcuXwDsCsPqshXj,El Efecto,74,0,184
71,1ndyl3wJCFs872XZ3ztPk6,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",64,0,184
72,6nGM44ZP7vSo0istUW2MOq,Loco - Remix,57,0,184
73,5Id5B3dxJZhPcV9GzgYZZe,Quizas,70,1,185
74,3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),74,0,184
75,49rFA0vfmY9Eel2cInKmTk,Atrevido,0,0,0
76,3jjujdWJ72nww5eGnfs2E7,Adore You,82,0,184
77,6itjKRbqPMmx9fo4PDlLhm,H.I.E.L.O.,60,0,184
78,0nbXyq5TXYPCO7pr3N8S4I,The Box,78,1,184
79,2w1rq80FIrbxeJy9WYURxw,Follow,64,0,184
80,0RDgqtvOHLwcI6yz9bjsZV,Perreo en La Luna,62,1,185
81,2KeSQBwQu0uziKKCCDevB1,Perdidamente,39,0,185
82,3B30FE1ywQwRa5vcg2W1Zg,"Don Patricio: Bzrp Music Sessions, Vol. 25",7,0,0
83,4R8BJggjosTswLxtkw8V7P,No Me Conoce - Remix,49,0,0
84,0ueg5iK0wyh5EgHvtIz4qL,Soltera Vá,41,0,11
85,1mohfLaTJtB2RplHLQVM70,La Jeepeta - Remix,68,1,184
86,57kdZIOAaolxAjB67d2yU3,Goteo,63,0,184
87,466cKvZn1j45IpxDdYZqdA,Toosie Slide,65,1,184
88,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,79,1,184
89,6RyaV7owmVU6fzEPE17sF1,Que Tire Pa Lante,64,0,184
90,2UAWYufVaO3EnUUNzl0ppO,CANGURO,62,1,184
91,113PlnpZbHd3WIqeYjhZWv,Definitivamente,58,0,184
92,6v3KW9xbzN5yKLt9YKDYA2,Señorita,78,0,184
93,0A37XY67wSdGqkGjtfW6aV,Fantasias - Remix,61,0,184
94,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,84,0,184
95,2zkVH2daHyjS51g7PRJFDn,¿Qué Ha Pasao'?,56,0,184
96,09nSCeCs6eYfAIJVfye1CE,Oye,41,0,0
97,2rRJrJEo19S2J82BDsQ3F7,Falling,14,0,0
98,0BNtpLD6zsXJGroRtcixOE,Años Luz,46,0,184
99,5uHAzGa4d9j35DEbhUwGhi,MELÓN VINO,68,0,184
100,2ukaTb7sSeWHdr22n1xTBs,Falta Amor,58,0,184
101,59s0s39NFWScuHDbHytI14,Indeciso,66,0,184
102,2TH65lNHgvLxCKXM3apjxI,Callaita,75,1,184
103,4nK5YrxbMGZstTLbvj6Gxw,Supalonely,67,1,179
104,57Ba26w9eoXx8BBUNgRNLV,La Forma en Que Me Miras,68,0,184
105,2qBirMakpTdz9ymxrZEyzg,Seguir Viviendo Sin Tu Amor,66,0,184
106,3IIqhLYR07zTtMTeRBZq8y,Superman Sin Capa - Remix,41,1,185
107,70zg99pT51vB4wlMS7e4q7,La Playa - Remix,59,1,184
108,2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),75,0,184
109,3a29UVSEIj6x3YcfKs2rdi,El Mismo Aire,63,0,184
110,6qvjLYh374hUwDg7bSsxog,Azul y Oro (Freestyle),0,0,0
111,34ZngZgo8xicbt1EE8Ob8Z,Porno,70,1,185
112,56f5qnyAlZdlz8wrUDA50h,Desconocidos,70,1,184
113,07L6tEZIfCX3GZAWCpGj0e,22,39,0,0
114,4t9a07PAghtQMRAIP9FQ7Z,Soltera - Remix,70,0,185
115,2EEmzqzM70CybVspgM7YRT,La Boca - Remix,61,0,184
116,3AzjcOeAmA57TIOr9zF1ZW,Physical,75,0,180
117,4bTZeO72FwMa6wKOiqoynL,Otro Trago - Remix,69,1,185
118,2pWOMNQJW3g2zmGjP0Vkb0,Whine Up,60,0,183
119,3tMNgcUfPEXTtG5vaaGi85,"Lucho SSJ: Bzrp Music Sessions, Vol. 26",49,1,184
120,2vrpcQNg6itmgVZWsNjWe0,Un Año,69,0,184
121,0bRn4yqvMzmrwgYQrDOQJD,Santa - Remix,45,1,185
122,7g8YaUQABMal0zWe7a2ijz,Pa Mí - Remix,72,1,185
123,027NtsXW0vpDFhzxsJKmTL,Mirenla,0,0,0
124,5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,70,0,184
125,52zq2a71SGs3f1vJuv59ui,Como Llora,58,0,184
126,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,85,0,184
127,68cko9zdsKwaxgb98sF36S,A Las Nueve,60,0,184
128,3CACzG9I3AoKUKA3ODE5zW,Me Vas a Extrañar - En Vivo,62,0,184
129,0UQwlF2pRkr1lMN6kNNUj3,La Boca,66,0,184
