,id,name,popularity,explicit,available_markets
0,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),75,0,184
1,7DM4BPaS7uofFul3ywMe46,Vente Pa' Ca (feat. Maluma),69,0,184
2,3AEZUABDXNtecAOSC1qTfo,Reggaetón Lento (Bailemos),70,0,183
3,6rQSrBHf7HlZjtcMZ4S4bO,Safari,0,0,0
4,58IL315gMSTD37DOZPJ2hf,Shaky Shaky,0,0,0
5,5J1c3M4EldCfNxXwrwt8mT,Traicionera,0,0,0
6,1MpKZi1zTXpERKwxmOu1PH,Cuando Se Pone a Bailar,55,0,184
7,3QwBODjSEzelZyVjxPOHdq,Otra vez (feat. J Balvin),70,0,112
8,0sXvAOmXgjR2QUqLK1MltU,La Bicicleta,57,0,184
9,20ZAJdsKB5IGbGj4ilRt2o,Dile Que Tu Me Quieres,0,0,0
10,5mey7CLLuFToM2P68Qu1gF,Andas En Mi Cabeza,0,0,0
11,1pWYnQIlqxTh5bxuPmTG4E,Desde Esa Noche (feat. Maluma),63,0,184
12,6DUdDIRgLqCGq1DwkNWQTN,Borro Cassette,73,0,184
13,1AkTW13ysu0AJrwuM6UY0I,Gyal You A Party Animal - Remix,0,0,0
14,5hEM0JchdVzQ5PwvSfITeX,Me llamas (feat. Maluma) - Remix,67,0,184
15,7IRuf7FrdQvOGs0g9mSNGr,La Bicicleta (feat. Maluma) - Remix,48,0,184
16,6YZdkObH88npeKrrkb8Ggf,DUELE EL CORAZON (feat. Wisin),65,0,183
17,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,0,0,0
18,3gEebOzxHpEwElicl1XBy0,La Noche No Es para Dormir,0,0,0
19,3dQDid3IUNhZy1OehIfYfE,Vacaciones,0,0,0
20,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),72,0,184
21,0tGAPnTFwRJA6FZgYZ0BAe,Carnavalintro,0,0,0
22,6stYbAJgTszHAHZMPxWWCY,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",0,0,0
23,1xznGGDReH1oQq0xzbwXa3,One Dance,0,0,0
24,1vvNmPOiUuyCbgWmtc6yfm,My Way,74,0,184
25,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),0,0,0
26,0OMRAvrtLWE2TvcXorRiB9,La Gozadera (feat. Marc Anthony),71,0,184
27,5aHJug2wnupoGfgfxRudsk,Llamame Mas Temprano,0,0,0
28,5aAx2yezTd8zXrkmtKl66Z,Starboy,0,1,0
29,3n58u3LOFw8mITLvfPvQBz,Manicomio,2,0,0
30,0JoHqmlqE0W0i9prt6kcHR,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",68,1,184
31,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,0,0,0
32,2xNZeeqmwMPVKnD7FSQfgt,Sin Contrato (feat. Don Omar & Wisin) - Remix,43,0,184
33,6b8Be6ljOzmkOmFslEb23P,24K Magic,76,0,184
34,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",75,0,183
35,0mwPE0lPOgnWf2bo14xedJ,Fuego,51,0,184
36,7AtlMCIauSQZqiXSlbBPW6,Bobo,0,0,0
37,04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,18,0,1
38,0BFgCEE7ozbyB1PpLpLyhM,Tu Ritmo,29,0,184
39,17Fd6Yb7mSbinKG8LoWfFl,I Took A Pill In Ibiza - Seeb Remix,0,1,0
40,2SSYqDX8KTgy01NlqtUo0F,Ya Me Enteré (feat. Nicky Jam) - Urban Version,54,0,184
41,4vlbjBSMqycZk6t4HVRpnC,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],0,0,0
42,3BY2mafsbsoKGqS380Xnuz,Te Quiero Pa´Mi,0,0,0
43,09S64DUkxIX9EwIaULu6yN,Sin Contrato (feat. Fifth Harmony),53,0,184
44,4tPL9PeVZY4c0jUPtSD5nx,Picky,63,0,184
45,14WWzenpaEgQZlqPq2nk4v,Work,0,1,0
46,0gzcET27nREY6aD8LJU9wD,Noche Loca,61,0,184
47,0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down (feat. Daya),41,0,1
48,5Fim1gaXBgsiFfsQAfQSDS,Hasta el Amanecer,68,0,183
49,300xUYXWhFA6Q1sbNvVItP,Le Hace Falta un Beso,51,0,184
50,2aFiaMXmWsM3Vj72F9ksBl,Cake By The Ocean,0,1,0
51,1lxswgIpzV6HhENRvkflES,Chillax (feat. Ky-Mani Marley),66,0,184
52,2xjcDF21U2ccgE2LEeiMbf,Loquita,58,0,184
53,2twUPIYOTqVivev47pf7bU,Te Vas,0,0,0
54,7BKLCZ1jbUBVqRi2FVlTVw,Closer,81,0,184
55,5jMvnSyOgGY8JpvHqeyVOg,Locuras contigo,58,0,184
56,4Hf7WnR761jpxPr5D46Bcd,Treat You Better,0,0,0
57,5OqaLWo9WbNPWDilrwNwzt,Era Tranquila,52,0,184
58,3iS4VBJ3Bg1HyL3e6WNpgi,Baila,38,0,184
59,347TStOSY6IOqMB84Rpxwk,Nena,56,0,184
60,3tddzXTgneWrkV2cYNUBZe,Deja De Llorar,63,0,181
61,1iEwyiSLAunPR6uouANE0O,El Perdedor,67,0,184
62,2webQDZmtGioeu3zUUi9We,Traicionera - Remix,0,0,0
63,0YFoSD5VhoVrRbrnFERpVM,Yo te propongo,52,0,184
64,4QsPTKvdpgkA7mBAvclZTa,El Perdedor (feat. Yandel) - The Remix,42,0,184
65,4Kzk0koKwzCMiIx4rAqCZp,Lo Intentamos,47,0,184
66,1A3yLIqelu1D7MCtw06Cu7,Hasta la luna,48,0,184
67,4UHZMWgKDjJ1zS0t6f6qPv,Comerte a Besos,0,0,0
68,00i0O74dXdaKKdCrqHnfXm,La Mordidita (feat. Yotuel),65,0,183
69,5N8nNuTmIzkZOfcxXlygUw,Ginza,0,0,0
70,78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,39,0,2
71,7qCAVkHWZkF44OzOUKf8Cr,El Perdón (with Enrique Iglesias),70,0,183
72,0ZzVPCGdkpKcxAzMNDD5UZ,Pasarla Bien,43,0,184
73,07GOnZWIiHWjLzUsaTv5yO,No Llores,0,0,0
74,4PdJSsESm34djLfBde9Pr2,Would I Lie to You - Radio Edit,58,0,184
75,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,72,0,184
76,772io14jrMTxGJbijtDccQ,Baila Conmigo,0,0,0
77,3LNZSTiwQYL7BnTfHvIOII,Una Cerveza,65,0,185
78,6041gM9Th1ViQcnzkIxnuv,Me Ama Me Odia,0,0,0
79,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,58,0,165
80,4pLwZjInHj3SimIyN9SnOz,Side To Side,0,1,0
81,4OaTpLJIa2harufGxfOPUu,Bailame Despacio,48,0,169
82,2rrWhFrcSZcZQ2SDKPGKQ6,Todo Comenzó Bailando,55,0,184
