,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1604,0.671,0.827,9,-2.907,1,0.0531,0.00304,0.00285,0.35,0.564,127.98,audio_features,7bJUkF96TYazaRp8ZH3Ars,spotify:track:7bJUkF96TYazaRp8ZH3Ars,https://api.spotify.com/v1/tracks/7bJUkF96TYazaRp8ZH3Ars,https://api.spotify.com/v1/audio-analysis/7bJUkF96TYazaRp8ZH3Ars,288880,4
1605,0.64,0.936,5,-5.157,1,0.0763,0.000449,0.495,0.0723,0.577,128.993,audio_features,0VppxvUwqcsgu6igGuAP7s,spotify:track:0VppxvUwqcsgu6igGuAP7s,https://api.spotify.com/v1/tracks/0VppxvUwqcsgu6igGuAP7s,https://api.spotify.com/v1/audio-analysis/0VppxvUwqcsgu6igGuAP7s,450680,4
1606,0.736,0.702,11,-6.635,0,0.0541,0.00693,0.00285,0.123,0.68,149.94,audio_features,0viAOwad3URSgmJwF5ZSZ7,spotify:track:0viAOwad3URSgmJwF5ZSZ7,https://api.spotify.com/v1/tracks/0viAOwad3URSgmJwF5ZSZ7,https://api.spotify.com/v1/audio-analysis/0viAOwad3URSgmJwF5ZSZ7,221587,4
1607,0.706,0.723,5,-9.235,1,0.0382,0.0232,0.0441,0.0994,0.937,113.121,audio_features,6HZKlK1mDDBsILMoNNncxL,spotify:track:6HZKlK1mDDBsILMoNNncxL,https://api.spotify.com/v1/tracks/6HZKlK1mDDBsILMoNNncxL,https://api.spotify.com/v1/audio-analysis/6HZKlK1mDDBsILMoNNncxL,415467,4
1608,0.912,0.781,7,-7.018,0,0.0444,0.074,0.762,0.348,0.89,119.978,audio_features,2pucDx5Wyz9uHCou4wntHa,spotify:track:2pucDx5Wyz9uHCou4wntHa,https://api.spotify.com/v1/tracks/2pucDx5Wyz9uHCou4wntHa,https://api.spotify.com/v1/audio-analysis/2pucDx5Wyz9uHCou4wntHa,400751,4
1609,0.414,0.932,9,-3.519,1,0.0784,3.41e-05,0.579,0.0776,0.284,145.083,audio_features,2EBrffFvwfHRsXLaWzSOdv,spotify:track:2EBrffFvwfHRsXLaWzSOdv,https://api.spotify.com/v1/tracks/2EBrffFvwfHRsXLaWzSOdv,https://api.spotify.com/v1/audio-analysis/2EBrffFvwfHRsXLaWzSOdv,205493,4
1610,0.662,0.975,7,-0.544,1,0.0318,0.063,0.0111,0.148,0.806,127.995,audio_features,4M2ft0utYYfDoUkIcupHSq,spotify:track:4M2ft0utYYfDoUkIcupHSq,https://api.spotify.com/v1/tracks/4M2ft0utYYfDoUkIcupHSq,https://api.spotify.com/v1/audio-analysis/4M2ft0utYYfDoUkIcupHSq,221250,4
1611,0.386,0.988,11,-2.692,0,0.158,0.000116,0.0,0.104,0.443,171.977,audio_features,6IghCx6jRj5VHEmXKQH2pR,spotify:track:6IghCx6jRj5VHEmXKQH2pR,https://api.spotify.com/v1/tracks/6IghCx6jRj5VHEmXKQH2pR,https://api.spotify.com/v1/audio-analysis/6IghCx6jRj5VHEmXKQH2pR,204493,4
1612,0.474,0.752,9,-4.754,0,0.192,3.64e-05,0.159,0.532,0.676,163.058,audio_features,6q9o34l9jRBiICBJidG9TZ,spotify:track:6q9o34l9jRBiICBJidG9TZ,https://api.spotify.com/v1/tracks/6q9o34l9jRBiICBJidG9TZ,https://api.spotify.com/v1/audio-analysis/6q9o34l9jRBiICBJidG9TZ,177427,4
1613,0.508,0.964,9,-4.077,1,0.0831,0.00141,0.0,0.197,0.609,134.982,audio_features,0ve9Tpz8Yw0I4eXhWsy21o,spotify:track:0ve9Tpz8Yw0I4eXhWsy21o,https://api.spotify.com/v1/tracks/0ve9Tpz8Yw0I4eXhWsy21o,https://api.spotify.com/v1/audio-analysis/0ve9Tpz8Yw0I4eXhWsy21o,248707,4
