title,date_formatted,url
Mine,2018-03-01,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
Outcast,2018-03-01,https://open.spotify.com/track/6jnDfM8vtRWgN7R4XSQpWJ
Skyldig,2018-03-01,https://open.spotify.com/track/4k9zexSmoSS6EER7F7SoPg
Enkelit,2018-03-01,https://open.spotify.com/track/6hAKGURpSwL2tvmfjnkWGr
44 More,2018-03-01,https://open.spotify.com/track/6iyp6udVpLuq3MCUulZT4h
God's Plan,2018-03-01,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
Leika,2018-03-01,https://open.spotify.com/track/6sIgHBjmtF5AgGa0av55Pn
BILLY,2018-03-01,https://open.spotify.com/track/7bRRHQelMfrP86QYQlCsAq
楓,2018-03-01,https://open.spotify.com/track/73xYYths9kvmFvYsd9gC9Z
Everyday,2018-03-01,https://open.spotify.com/track/2zJJro5CPAVwwzLQQdcBbu
Du,2018-03-01,https://open.spotify.com/track/0EM85Qj3526QtxCBOQL6rT
Ko Ko Bop,2018-03-01,https://open.spotify.com/track/5EzitieoPnjyKHAq0gfRMa
Amorfoda,2018-03-01,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
Dura,2018-03-01,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
Bella,2018-03-01,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE
Déjala Que Vuelva (feat. Manuel Turizo),2018-03-01,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
Si Te Sentis Sola,2018-03-01,https://open.spotify.com/track/2Z4VK9otSeq3MxWcEgptUa
Nena Maldicion (feat. Lenny Tavarez),2018-03-01,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
Échame La Culpa,2018-03-01,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
Corazón,2018-03-01,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
Criminal,2018-03-01,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
Vete,2018-03-01,https://open.spotify.com/track/2rZB6indPhp8C5AZK1PpkS
Síguelo Bailando,2018-03-01,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
Sensualidad,2018-03-01,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
Downtown,2018-03-01,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
EL BAÑO (feat. Bad Bunny),2018-03-01,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
Solita,2018-03-01,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
Me Niego (feat. Ozuna & Wisin),2018-03-01,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
Quiero Repetir,2018-03-01,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
She Don't Give a FO (feat. Khea),2018-03-01,https://open.spotify.com/track/7ehmaSwhEZv4aaJzxsVMGY
Se Preparó,2018-03-01,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
Dembow,2018-03-01,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
Mi Mala - Remix,2018-03-01,https://open.spotify.com/track/6kOHug1s9Nd5gsHrX8irs2
Mamita,2018-03-01,https://open.spotify.com/track/5ojXuKXBYq0apcNucYSDXq
Suena El Dembow,2018-03-01,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI
Que Va,2018-03-01,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O
Báilame - Remix,2018-03-01,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr
Apaga el Celular,2018-03-01,https://open.spotify.com/track/4mA3n4YlK7wmfXvXzCJx0R
Mayores,2018-03-01,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
Machika,2018-03-01,https://open.spotify.com/track/6MNGxu8MprKGkchUchkJsy
Si Te Lastime,2018-03-01,https://open.spotify.com/track/7k09lnI8FXcEREvDps6oPJ
Esperándote,2018-03-01,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
SUTRA,2018-03-01,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5
Bella y Sensual,2018-03-01,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
Condenado Para el Millon,2018-03-01,https://open.spotify.com/track/5UjhWsB5rddZEPlNUcGDLV
Bum Bum Tam Tam,2018-03-01,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",2018-03-01,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
Rockstar,2018-03-01,https://open.spotify.com/track/1iidvirbvLhm05k83k4N64
Hello Cotto,2018-03-01,https://open.spotify.com/track/1tkikMrqW4NvmzIfIyNXw7
Havana - Remix,2018-03-01,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ
Amantes de una Noche,2018-03-01,https://open.spotify.com/track/2iCOdoyDmWG3hWkbtH1KB2
Robarte un Beso,2018-03-01,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
Déjate Llevar,2018-03-01,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6
Perro Fiel (feat. Nicky Jam),2018-03-01,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL
Una Lady Como Tú,2018-03-01,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
Escápate Conmigo (feat. Ozuna),2018-03-01,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
Loco Enamorado,2018-03-01,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB
3 A.M.,2018-03-01,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu
Felices los 4,2018-03-01,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
Havana (feat. Young Thug),2018-03-01,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
Rebota,2018-03-01,https://open.spotify.com/track/6V6SZ4JbgtGF8owOpUqOah
Dime Si Te Acuerdas,2018-03-01,https://open.spotify.com/track/49VSioK272TASR4r9vRTuP
Mojaa,2018-03-01,https://open.spotify.com/track/1XT4N8ostsFZcZNDio0jWL
El Farsante - Remix,2018-03-01,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
Dorado,2018-03-01,https://open.spotify.com/track/3J4cbpVuuo8sdLWcEajRA3
No Hay Nadie Más,2018-03-01,https://open.spotify.com/track/6wos8Ds5FKMe33GjBHRake
Shape of You,2018-03-01,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
Todo Comienza en la Disco,2018-03-01,https://open.spotify.com/track/3a2aBKuvgP1qHo3BqU3lGh
IDGAF,2018-03-01,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
Fiebre (feat. Wisin & Yandel),2018-03-01,https://open.spotify.com/track/0oFqlgK2LJ9eMlpGBCmRvf
New Rules,2018-03-01,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
La Modelo,2018-03-01,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH
B.U.H.O (feat. Duki & Klave),2018-03-01,https://open.spotify.com/track/6F9BrSf6kqJkV6Uyq589uj
Scooby Doo Papa!,2018-03-01,https://open.spotify.com/track/6csZYoffpZ7iuSw83x2zVy
Chambea,2018-03-01,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i
Como Antes (feat. Wisin),2018-03-01,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5
Luna Llena,2018-03-01,https://open.spotify.com/track/1kK7yrknQvA2wEU5zyG41m
Perfect,2018-03-01,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
Mi Gente,2018-03-01,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
Explícale (feat. Bad Bunny),2018-03-01,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG
Bonita,2018-03-01,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
GPS (feat. French Montana),2018-03-01,https://open.spotify.com/track/3t6j6WNv2OSn6qm5Vxynub
Hey DJ,2018-03-01,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
Ahora Dice,2018-03-01,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
Duro y Suave,2018-03-01,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
El Farsante,2018-03-01,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ
Muevelo Mami,2018-03-01,https://open.spotify.com/track/2BIxGGD8Rs7OmJqkzmfxG2
Motta - Remix,2018-03-01,https://open.spotify.com/track/2kMKJv055nJbDHAsVITKMD
Oncemil,2018-03-01,https://open.spotify.com/track/3y5ahYM9zwyOCt3mieZ0PZ
Ahora,2018-03-01,https://open.spotify.com/track/54OB85nuxYGfl7qRQXuz7c
Que Rico Baila,2018-03-01,https://open.spotify.com/track/5QTWB74jDroxV6DvMqV533
Si Tú La Ves (feat. Wisin),2018-03-01,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
La fórmula (feat. Chris Jedi),2018-03-01,https://open.spotify.com/track/4XCQtUoRSh22Ep18ULmDnT
Despacito (Featuring Daddy Yankee),2018-03-01,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
Intento,2018-03-01,https://open.spotify.com/track/1nvomogWZSfnw3H4Uti0eL
Mi Mala,2018-03-01,https://open.spotify.com/track/4XP6qLtHI0n9UjIPTsuqe8
Besame,2018-03-01,https://open.spotify.com/track/7Ckhk1XW5NV2k4jpqtQNlz
Nunca quise,2018-03-01,https://open.spotify.com/track/0ZAJ660VP57lLK4U7NlGOy
