year,AudioFeature,year,AudioFeature,average value
1932,acousticness,1932,acousticness,0.977
1932,danceability,1932,danceability,0.623
1932,duration_ms,1932,duration_ms,191124.0
1932,energy,1932,energy,0.26
1932,instrumentalness,1932,instrumentalness,0.236
1932,key,1932,key,6.0
1932,liveness,1932,liveness,0.124
1932,loudness,1932,loudness,-12.084
1932,mode,1932,mode,0.0
1932,speechiness,1932,speechiness,0.0534
1932,tempo,1932,tempo,102.395
1932,time_signature,1932,time_signature,4.0
1932,valence,1932,valence,0.595
1933,acousticness,1933,acousticness,0.9744999999999999
1933,danceability,1933,danceability,0.5081666666666668
1933,duration_ms,1933,duration_ms,183922.16666666666
1933,energy,1933,energy,0.24373333333333333
1933,instrumentalness,1933,instrumentalness,0.29583570666666664
1933,key,1933,key,4.666666666666667
1933,liveness,1933,liveness,0.15033333333333335
1933,loudness,1933,loudness,-12.763166666666669
1933,mode,1933,mode,0.16666666666666666
1933,speechiness,1933,speechiness,0.03965
1933,tempo,1933,tempo,114.70533333333334
1933,time_signature,1933,time_signature,4.166666666666667
1933,valence,1933,valence,0.5113333333333333
1935,acousticness,1935,acousticness,0.9012
1935,danceability,1935,danceability,0.6923999999999999
1935,duration_ms,1935,duration_ms,180842.8
1935,energy,1935,energy,0.47940000000000005
1935,instrumentalness,1935,instrumentalness,0.120092
1935,key,1935,key,8.4
1935,liveness,1935,liveness,0.21136
1935,loudness,1935,loudness,-9.4744
1935,mode,1935,mode,0.8
1935,speechiness,1935,speechiness,0.1619
1935,tempo,1935,tempo,122.3854
1935,time_signature,1935,time_signature,4.0
1935,valence,1935,valence,0.7163999999999999
1936,acousticness,1936,acousticness,0.98
1936,danceability,1936,danceability,0.691
1936,duration_ms,1936,duration_ms,176627.0
1936,energy,1936,energy,0.0958
1936,instrumentalness,1936,instrumentalness,1.61e-05
1936,key,1936,key,1.0
1936,liveness,1936,liveness,0.0931
1936,loudness,1936,loudness,-13.9
1936,mode,1936,mode,0.0
1936,speechiness,1936,speechiness,0.143
1936,tempo,1936,tempo,101.574
1936,time_signature,1936,time_signature,4.0
1936,valence,1936,valence,0.519
1937,acousticness,1937,acousticness,0.9597777777777777
1937,danceability,1937,danceability,0.5755555555555555
1937,duration_ms,1937,duration_ms,169321.44444444444
1937,energy,1937,energy,0.41603333333333337
1937,instrumentalness,1937,instrumentalness,0.4803584855555555
1937,key,1937,key,5.777777777777778
1937,liveness,1937,liveness,0.16378888888888887
1937,loudness,1937,loudness,-13.404777777777781
1937,mode,1937,mode,0.6666666666666666
1937,speechiness,1937,speechiness,0.060222222222222226
1937,tempo,1937,tempo,119.95466666666668
1937,time_signature,1937,time_signature,3.888888888888889
1937,valence,1937,valence,0.7047777777777777
1939,acousticness,1939,acousticness,0.824
1939,danceability,1939,danceability,0.463
1939,duration_ms,1939,duration_ms,209573.0
1939,energy,1939,energy,0.654
1939,instrumentalness,1939,instrumentalness,0.917
1939,key,1939,key,8.0
1939,liveness,1939,liveness,0.372
1939,loudness,1939,loudness,-9.72
1939,mode,1939,mode,1.0
1939,speechiness,1939,speechiness,0.0659
1939,tempo,1939,tempo,175.204
1939,time_signature,1939,time_signature,4.0
1939,valence,1939,valence,0.592
1940,acousticness,1940,acousticness,0.992
1940,danceability,1940,danceability,0.685
1940,duration_ms,1940,duration_ms,186667.0
1940,energy,1940,energy,0.3
1940,instrumentalness,1940,instrumentalness,0.117
1940,key,1940,key,0.0
1940,liveness,1940,liveness,0.224
1940,loudness,1940,loudness,-10.484
1940,mode,1940,mode,0.0
1940,speechiness,1940,speechiness,0.0617
1940,tempo,1940,tempo,112.353
1940,time_signature,1940,time_signature,4.0
1940,valence,1940,valence,0.746
1941,acousticness,1941,acousticness,0.602
1941,danceability,1941,danceability,0.662
1941,duration_ms,1941,duration_ms,144613.0
1941,energy,1941,energy,0.172
1941,instrumentalness,1941,instrumentalness,0.0
1941,key,1941,key,10.0
1941,liveness,1941,liveness,0.115
1941,loudness,1941,loudness,-16.877
1941,mode,1941,mode,1.0
1941,speechiness,1941,speechiness,0.0675
1941,tempo,1941,tempo,92.821
1941,time_signature,1941,time_signature,4.0
1941,valence,1941,valence,0.755
1944,acousticness,1944,acousticness,0.977
1944,danceability,1944,danceability,0.454
1944,duration_ms,1944,duration_ms,176362.0
1944,energy,1944,energy,0.326
1944,instrumentalness,1944,instrumentalness,0.173
1944,key,1944,key,10.0
1944,liveness,1944,liveness,0.176
1944,loudness,1944,loudness,-10.768
1944,mode,1944,mode,1.0
1944,speechiness,1944,speechiness,0.0446
1944,tempo,1944,tempo,74.47
1944,time_signature,1944,time_signature,4.0
1944,valence,1944,valence,0.422
1945,acousticness,1945,acousticness,0.9225
1945,danceability,1945,danceability,0.6875
1945,duration_ms,1945,duration_ms,158623.5
1945,energy,1945,energy,0.2745
1945,instrumentalness,1945,instrumentalness,0.27615500000000004
1945,key,1945,key,8.5
1945,liveness,1945,liveness,0.08990000000000001
1945,loudness,1945,loudness,-13.652999999999999
1945,mode,1945,mode,1.0
1945,speechiness,1945,speechiness,0.154
1945,tempo,1945,tempo,148.86599999999999
1945,time_signature,1945,time_signature,4.0
1945,valence,1945,valence,0.7885
1947,acousticness,1947,acousticness,0.6285999999999999
1947,danceability,1947,danceability,0.5942000000000001
1947,duration_ms,1947,duration_ms,257984.0
1947,energy,1947,energy,0.277
1947,instrumentalness,1947,instrumentalness,0.18702
1947,key,1947,key,4.8
1947,liveness,1947,liveness,0.14906
1947,loudness,1947,loudness,-17.009
1947,mode,1947,mode,0.8
1947,speechiness,1947,speechiness,0.0461
1947,tempo,1947,tempo,91.7366
1947,time_signature,1947,time_signature,4.0
1947,valence,1947,valence,0.48274000000000006
1949,acousticness,1949,acousticness,0.9736666666666668
1949,danceability,1949,danceability,0.4543333333333333
1949,duration_ms,1949,duration_ms,194764.66666666666
1949,energy,1949,energy,0.03608666666666667
1949,instrumentalness,1949,instrumentalness,0.6033333333333334
1949,key,1949,key,6.666666666666667
1949,liveness,1949,liveness,0.0904
1949,loudness,1949,loudness,-29.899333333333335
1949,mode,1949,mode,0.3333333333333333
1949,speechiness,1949,speechiness,0.08839999999999999
1949,tempo,1949,tempo,85.44866666666667
1949,time_signature,1949,time_signature,3.3333333333333335
1949,valence,1949,valence,0.36166666666666664
1950,acousticness,1950,acousticness,0.902
1950,danceability,1950,danceability,0.44766666666666666
1950,duration_ms,1950,duration_ms,206903.0
1950,energy,1950,energy,0.17361666666666667
1950,instrumentalness,1950,instrumentalness,0.20261571999999997
1950,key,1950,key,3.0
1950,liveness,1950,liveness,0.17983333333333332
1950,loudness,1950,loudness,-15.1945
1950,mode,1950,mode,0.5
1950,speechiness,1950,speechiness,0.03573333333333333
1950,tempo,1950,tempo,108.16383333333333
1950,time_signature,1950,time_signature,4.0
1950,valence,1950,valence,0.3775
1951,acousticness,1951,acousticness,0.9215555555555556
1951,danceability,1951,danceability,0.5468888888888889
1951,duration_ms,1951,duration_ms,183952.88888888888
1951,energy,1951,energy,0.3692222222222223
1951,instrumentalness,1951,instrumentalness,0.16387197777777776
1951,key,1951,key,4.333333333333333
1951,liveness,1951,liveness,0.11213333333333335
1951,loudness,1951,loudness,-8.698555555555554
1951,mode,1951,mode,0.7777777777777778
1951,speechiness,1951,speechiness,0.04146666666666667
1951,tempo,1951,tempo,122.67522222222222
1951,time_signature,1951,time_signature,3.6666666666666665
1951,valence,1951,valence,0.5532222222222222
1952,acousticness,1952,acousticness,0.9934999999999999
1952,danceability,1952,danceability,0.515
1952,duration_ms,1952,duration_ms,178148.25
1952,energy,1952,energy,0.191225
1952,instrumentalness,1952,instrumentalness,0.710725
1952,key,1952,key,5.0
1952,liveness,1952,liveness,0.12442500000000001
1952,loudness,1952,loudness,-16.5385
1952,mode,1952,mode,0.25
1952,speechiness,1952,speechiness,0.05305
1952,tempo,1952,tempo,75.3805
1952,time_signature,1952,time_signature,3.5
1952,valence,1952,valence,0.5985
1953,acousticness,1953,acousticness,0.885818181818182
1953,danceability,1953,danceability,0.5019090909090909
1953,duration_ms,1953,duration_ms,189999.27272727274
1953,energy,1953,energy,0.3208636363636364
1953,instrumentalness,1953,instrumentalness,0.3496232827272727
1953,key,1953,key,4.363636363636363
1953,liveness,1953,liveness,0.12492727272727273
1953,loudness,1953,loudness,-12.74409090909091
1953,mode,1953,mode,0.7272727272727273
1953,speechiness,1953,speechiness,0.06063636363636364
1953,tempo,1953,tempo,122.6232727272727
1953,time_signature,1953,time_signature,4.0
1953,valence,1953,valence,0.5665454545454545
1954,acousticness,1954,acousticness,0.8305151515151518
1954,danceability,1954,danceability,0.5394545454545454
1954,duration_ms,1954,duration_ms,230813.9393939394
1954,energy,1954,energy,0.325639393939394
1954,instrumentalness,1954,instrumentalness,0.3113979090909092
1954,key,1954,key,5.121212121212121
1954,liveness,1954,liveness,0.16447878787878786
1954,loudness,1954,loudness,-12.940454545454546
1954,mode,1954,mode,0.6060606060606061
1954,speechiness,1954,speechiness,0.055984848484848485
1954,tempo,1954,tempo,107.74754545454542
1954,time_signature,1954,time_signature,3.8484848484848486
1954,valence,1954,valence,0.517509090909091
1955,acousticness,1955,acousticness,0.9109117647058824
1955,danceability,1955,danceability,0.5005294117647059
1955,duration_ms,1955,duration_ms,255350.4411764706
1955,energy,1955,energy,0.1939294117647059
1955,instrumentalness,1955,instrumentalness,0.2634244520588235
1955,key,1955,key,6.352941176470588
1955,liveness,1955,liveness,0.15939117647058823
1955,loudness,1955,loudness,-15.387088235294115
1955,mode,1955,mode,0.5294117647058824
1955,speechiness,1955,speechiness,0.05037941176470589
1955,tempo,1955,tempo,107.47176470588235
1955,time_signature,1955,time_signature,3.9705882352941178
1955,valence,1955,valence,0.3626088235294118
1956,acousticness,1956,acousticness,0.8624218749999996
1956,danceability,1956,danceability,0.5224531250000002
1956,duration_ms,1956,duration_ms,223265.46875
1956,energy,1956,energy,0.22721656249999997
1956,instrumentalness,1956,instrumentalness,0.18065615703125001
1956,key,1956,key,4.546875
1956,liveness,1956,liveness,0.155590625
1956,loudness,1956,loudness,-14.393281249999996
1956,mode,1956,mode,0.640625
1956,speechiness,1956,speechiness,0.048184374999999995
1956,tempo,1956,tempo,114.94975
1956,time_signature,1956,time_signature,3.78125
1956,valence,1956,valence,0.44882812500000013
1957,acousticness,1957,acousticness,0.8204770642201838
1957,danceability,1957,danceability,0.5284862385321101
1957,duration_ms,1957,duration_ms,273900.6422018349
1957,energy,1957,energy,0.24158348623853207
1957,instrumentalness,1957,instrumentalness,0.24879972119266053
1957,key,1957,key,4.293577981651376
1957,liveness,1957,liveness,0.13585596330275232
1957,loudness,1957,loudness,-13.911623853211006
1957,mode,1957,mode,0.6238532110091743
1957,speechiness,1957,speechiness,0.05189082568807341
1957,tempo,1957,tempo,106.23052293577979
1957,time_signature,1957,time_signature,3.889908256880734
1957,valence,1957,valence,0.4345321100917431
1958,acousticness,1958,acousticness,0.8019253731343285
1958,danceability,1958,danceability,0.5099253731343282
1958,duration_ms,1958,duration_ms,247153.79104477612
1958,energy,1958,energy,0.25092850746268663
1958,instrumentalness,1958,instrumentalness,0.12297047671641789
1958,key,1958,key,4.746268656716418
1958,liveness,1958,liveness,0.15658208955223876
1958,loudness,1958,loudness,-15.137417910447763
1958,mode,1958,mode,0.5970149253731343
1958,speechiness,1958,speechiness,0.05017014925373134
1958,tempo,1958,tempo,109.55341791044775
1958,time_signature,1958,time_signature,3.8805970149253732
1958,valence,1958,valence,0.4328194029850747
1959,acousticness,1959,acousticness,0.8359756097560977
1959,danceability,1959,danceability,0.5067987804878051
1959,duration_ms,1959,duration_ms,298423.23170731706
1959,energy,1959,energy,0.23807560975609757
1959,instrumentalness,1959,instrumentalness,0.2811773474390244
1959,key,1959,key,5.0
1959,liveness,1959,liveness,0.14632317073170734
1959,loudness,1959,loudness,-14.871634146341469
1959,mode,1959,mode,0.5975609756097561
1959,speechiness,1959,speechiness,0.049417073170731685
1959,tempo,1959,tempo,109.7952804878049
1959,time_signature,1959,time_signature,3.8902439024390243
1959,valence,1959,valence,0.4092451219512195
1960,acousticness,1960,acousticness,0.8189178082191778
1960,danceability,1960,danceability,0.5148356164383563
1960,duration_ms,1960,duration_ms,234355.1095890411
1960,energy,1960,energy,0.27236904109589044
1960,instrumentalness,1960,instrumentalness,0.25132774876712327
1960,key,1960,key,4.465753424657534
1960,liveness,1960,liveness,0.16854383561643832
1960,loudness,1960,loudness,-13.84445205479452
1960,mode,1960,mode,0.6027397260273972
1960,speechiness,1960,speechiness,0.05005479452054795
1960,tempo,1960,tempo,112.50563013698635
1960,time_signature,1960,time_signature,3.835616438356164
1960,valence,1960,valence,0.4660219178082191
1961,acousticness,1961,acousticness,0.8626376811594203
1961,danceability,1961,danceability,0.472
1961,duration_ms,1961,duration_ms,346139.49275362317
1961,energy,1961,energy,0.21116072463768115
1961,instrumentalness,1961,instrumentalness,0.4743530088405798
1961,key,1961,key,4.188405797101449
1961,liveness,1961,liveness,0.18903043478260864
1961,loudness,1961,loudness,-17.00405797101449
1961,mode,1961,mode,0.6811594202898551
1961,speechiness,1961,speechiness,0.04143913043478261
1961,tempo,1961,tempo,108.81671014492757
1961,time_signature,1961,time_signature,3.753623188405797
1961,valence,1961,valence,0.33747536231884057
1962,acousticness,1962,acousticness,0.7634439436619719
1962,danceability,1962,danceability,0.5114084507042255
1962,duration_ms,1962,duration_ms,237697.61971830987
1962,energy,1962,energy,0.3029943661971833
1962,instrumentalness,1962,instrumentalness,0.21826174788732397
1962,key,1962,key,5.577464788732394
1962,liveness,1962,liveness,0.13569295774647888
1962,loudness,1962,loudness,-14.820126760563381
1962,mode,1962,mode,0.6338028169014085
1962,speechiness,1962,speechiness,0.054683098591549295
1962,tempo,1962,tempo,118.37661971830983
1962,time_signature,1962,time_signature,3.7183098591549295
1962,valence,1962,valence,0.48415070422535206
1963,acousticness,1963,acousticness,0.7893678160919538
1963,danceability,1963,danceability,0.5063724137931034
1963,duration_ms,1963,duration_ms,266095.4252873563
1963,energy,1963,energy,0.2617222988505747
1963,instrumentalness,1963,instrumentalness,0.27544635022988506
1963,key,1963,key,5.183908045977011
1963,liveness,1963,liveness,0.16790804597701148
1963,loudness,1963,loudness,-15.871448275862056
1963,mode,1963,mode,0.5977011494252874
1963,speechiness,1963,speechiness,0.0478448275862069
1963,tempo,1963,tempo,109.55104597701148
1963,time_signature,1963,time_signature,3.6666666666666665
1963,valence,1963,valence,0.4289218390804596
1964,acousticness,1964,acousticness,0.6979805913978497
1964,danceability,1964,danceability,0.535193548387097
1964,duration_ms,1964,duration_ms,233337.37634408602
1964,energy,1964,energy,0.33803516129032246
1964,instrumentalness,1964,instrumentalness,0.17166925483870968
1964,key,1964,key,4.89247311827957
1964,liveness,1964,liveness,0.14055698924731186
1964,loudness,1964,loudness,-13.753268817204303
1964,mode,1964,mode,0.6989247311827957
1964,speechiness,1964,speechiness,0.04524301075268816
1964,tempo,1964,tempo,116.85598924731185
1964,time_signature,1964,time_signature,3.752688172043011
1964,valence,1964,valence,0.5150387096774195
1965,acousticness,1965,acousticness,0.5546300000000001
1965,danceability,1965,danceability,0.5149662921348315
1965,duration_ms,1965,duration_ms,201072.05617977527
1965,energy,1965,energy,0.47294157303370793
1965,instrumentalness,1965,instrumentalness,0.11228224505617974
1965,key,1965,key,5.46067415730337
1965,liveness,1965,liveness,0.17013258426966296
1965,loudness,1965,loudness,-11.96985393258427
1965,mode,1965,mode,0.7640449438202247
1965,speechiness,1965,speechiness,0.04806067415730336
1965,tempo,1965,tempo,126.71144943820222
1965,time_signature,1965,time_signature,3.831460674157303
1965,valence,1965,valence,0.5943719101123596
1966,acousticness,1966,acousticness,0.5156303148148148
1966,danceability,1966,danceability,0.5143333333333333
1966,duration_ms,1966,duration_ms,214831.21296296295
1966,energy,1966,energy,0.45886481481481467
1966,instrumentalness,1966,instrumentalness,0.1400684178703703
1966,key,1966,key,4.472222222222222
1966,liveness,1966,liveness,0.16948240740740741
1966,loudness,1966,loudness,-11.559740740740741
1966,mode,1966,mode,0.7129629629629629
1966,speechiness,1966,speechiness,0.048842592592592576
1966,tempo,1966,tempo,118.00340740740747
1966,time_signature,1966,time_signature,3.75
1966,valence,1966,valence,0.5926666666666668
1967,acousticness,1967,acousticness,0.4919134074074075
1967,danceability,1967,danceability,0.5101037037037036
1967,duration_ms,1967,duration_ms,232149.8962962963
1967,energy,1967,energy,0.47697259259259284
1967,instrumentalness,1967,instrumentalness,0.1375013607407407
1967,key,1967,key,5.148148148148148
1967,liveness,1967,liveness,0.1820044444444444
1967,loudness,1967,loudness,-11.65651851851852
1967,mode,1967,mode,0.7555555555555555
1967,speechiness,1967,speechiness,0.05440370370370372
1967,tempo,1967,tempo,118.95379259259258
1967,time_signature,1967,time_signature,3.748148148148148
1967,valence,1967,valence,0.5738222222222221
1968,acousticness,1968,acousticness,0.4282630208333333
1968,danceability,1968,danceability,0.5037013888888889
1968,duration_ms,1968,duration_ms,249780.88888888888
1968,energy,1968,energy,0.46544027777777786
1968,instrumentalness,1968,instrumentalness,0.06513947430555557
1968,key,1968,key,5.180555555555555
1968,liveness,1968,liveness,0.18004097222222235
1968,loudness,1968,loudness,-11.851090277777777
1968,mode,1968,mode,0.7361111111111112
1968,speechiness,1968,speechiness,0.05855208333333331
1968,tempo,1968,tempo,120.16553472222222
1968,time_signature,1968,time_signature,3.7222222222222223
1968,valence,1968,valence,0.5812881944444445
1969,acousticness,1969,acousticness,0.4588179147727274
1969,danceability,1969,danceability,0.5017215909090911
1969,duration_ms,1969,duration_ms,236682.20454545456
1969,energy,1969,energy,0.4704670454545454
1969,instrumentalness,1969,instrumentalness,0.11067856090909091
1969,key,1969,key,4.7272727272727275
1969,liveness,1969,liveness,0.18115227272727272
1969,loudness,1969,loudness,-12.134505681818188
1969,mode,1969,mode,0.7215909090909091
1969,speechiness,1969,speechiness,0.050832954545454556
1969,tempo,1969,tempo,120.38328977272728
1969,time_signature,1969,time_signature,3.7670454545454546
1969,valence,1969,valence,0.5677625000000006
1970,acousticness,1970,acousticness,0.48172250133333344
1970,danceability,1970,danceability,0.5091799999999999
1970,duration_ms,1970,duration_ms,268831.92
1970,energy,1970,energy,0.48186133333333325
1970,instrumentalness,1970,instrumentalness,0.18212406806666667
1970,key,1970,key,4.953333333333333
1970,liveness,1970,liveness,0.1773606666666666
1970,loudness,1970,loudness,-12.309853333333333
1970,mode,1970,mode,0.7266666666666667
1970,speechiness,1970,speechiness,0.043582000000000023
1970,tempo,1970,tempo,117.48716666666665
